славянск,россия	Slavyansk-na-Kubani
балтийский район,россия	Baltiysky_District,_Kaliningrad_Oblast
микунь,россия	Mikun
ангарск,россия	Angarsk
пушкинский район,россия	Pushkinsky_District,_Moscow_Oblast
ударный,россия	Udarny,_Karachay-Cherkess_Republic
верещагино,россия	Vereshchagino,_Vereshchaginsky_District,_Perm_Krai
тарат,россия	Tarat,_Russia
юрино,россия	Yurino,_Mari_El_Republic
самойловский район,россия	Samoylovsky_District
комсомольск-на-амуре,россия	Komsomolsk-on-Amur
безенчукский район,россия	Bezenchuksky_District
корочанский район,россия	Korochansky_District
снежный,россия	Snezhnoye,_Chukotka_Autonomous_Okrug
крестовский лесоучасток,россия	Krestovsky_Lesouchastok
волжский,россия	Volzhsky,_Volgograd_Oblast
новосибирский область,россия	Novosibirsk_Oblast
лобня,россия	Lobnya
саратовский область,россия	Saratov_Oblast
лысковский район,россия	Lyskovsky_District
волжск,россия	Volzhsk
палкино,россия	Palkino,_Palkinsky_District,_Pskov_Oblast
красный луч,россия	Krasny_Luch,_Pskov_Oblast
магнитогорск,россия	Magnitogorsk
намский улус,россия	Namsky_District
дрезна,россия	Drezna
наровчатский район,россия	Narovchatsky_District
борисоглебск,россия	Borisoglebsk
медногорский,россия	Mednogorsky
осташков,россия	Ostashkov
дорожный,россия	Dorozhny
гагино,россия	Gagino,_Moscow_Oblast
саргатский район,россия	Sargatsky_District
муравленко,россия	Muravlenko
кюбяинд,россия	Kyubyainde
магаданский область,россия	Magadan_Oblast
еманжелинск,россия	Yemanzhelinsk
кочегаровый,россия	Kochegarovo
бежецк,россия	Bezhetsk
тюльганский район,россия	Tyulgansky_District
парабельский район,россия	Parabelsky_District
нижневартовский район,россия	Nizhnevartovsky_District
осохтох,россия	Osokhtokh
кескил,россия	Keskil
архангельск,россия	Arkhangelsk
юрьев-польский,россия	Yuryev-Polsky_(town)
северный район,россия	Severny_District,_Orenburg_Oblast
чериктей,россия	Cheriktey
кандалакша,россия	Kandalaksha
клявлинский район,россия	Klyavlinsky_District
туапсе,россия	Tuapse
район хорошево-мневники,россия	Khoroshevo-Mnevniki_District
куровское,россия	Kurovskoye,_Moscow_Oblast
жуковка,россия	Zhukovka,_Bryansk_Oblast
видный,россия	Vidnoye,_Moscow_Oblast
хибины,россия	Khibiny,_Murmansk_Oblast
выгоничский район,россия	Vygonichsky_District
боготольский район,россия	Bogotolsky_District
чекалин,россия	Chekalin
волчанск,россия	Volchansk
минеральный вода,россия	Mineralnye_Vody
знаменск,россия	Znamensk,_Astrakhan_Oblast
мантурово,россия	Manturovo,_Kostroma_Oblast
район крюково,россия	Kryukovo_District
харбала,россия	Kharbalakh
плесецкий район,россия	Plesetsky_District
белгородский область,россия	Belgorod_Oblast
наро-фоминск,россия	Naro-Fominsk
вилюйск,россия	Vilyuysk
далматовский район,россия	Dalmatovsky_District
кондрово,россия	Kondrovo,_Kaluga_Oblast
верхнекамский район,россия	Verkhnekamsky_District
белинский район,россия	Belinsky_District
уйский район,россия	Uysky_District
пластовский район,россия	Plastovsky_District
колпнянский район,россия	Kolpnyansky_District
ирбит,россия	Irbit
алексин,россия	Aleksin
тара,россия	Tara,_Omsk_Oblast
томск,россия	Tomsk
боковский район,россия	Bokovsky_District
синегорье,россия	Sinegorye
упоровский район,россия	Uporovsky_District
красносельский район,россия	Krasnoselsky_District,_Kostroma_Oblast
вичугский район,россия	Vichugsky_District
чесменский район,россия	Chesmensky_District
Изъяю,россия	Izyayu
максатихинский район,россия	Maksatikhinsky_District
ноглики,россия	Nogliki
сандовский район,россия	Sandovsky_District
локнянский район,россия	Loknyansky_District
шацкий район,россия	Shatsky_District
инсар,россия	Insar,_Insarsky_District,_Republic_of_Mordovia
рыбный,россия	Rybnoye,_Ryazan_Oblast
муром,россия	Murom
теплый ключ,россия	Teply_Klyuch
елизово,россия	Yelizovo
кюерель,россия	Kyuyorelyakh
антроповский район,россия	Antropovsky_District
яранский район,россия	Yaransky_District
аромашевский район,россия	Aromashevsky_District
шербакульский район,россия	Sherbakulsky_District
черюмча,россия	Chyoryumche
заринск,россия	Zarinsk
фрунзе,россия	Frunze,_Sakha_Republic
кириши,россия	Kirishi
мга,россия	Mga
верхний пышма,россия	Verkhnyaya_Pyshma
октябрьский район,россия	Oktyabrsky_District,_Volgograd_Oblast
пинозеро,россия	Pinozero
эжанец,россия	Ezhantsy
бутурлиновский район,россия	Buturlinovsky_District
смоленский район,россия	Smolensky_District,_Smolensk_Oblast
молоково,россия	Molokovo,_Molokovsky_District,_Tver_Oblast
гаринский район,россия	Garinsky_District
седельниковский район,россия	Sedelnikovsky_District
павлово,россия	Pavlovo,_Pavlovsky_District,_Nizhny_Novgorod_Oblast
светлый,россия	Svetly,_Saratov_Oblast
верея,россия	Vereya,_Naro-Fominsky_District,_Moscow_Oblast
киц,россия	Kitsa,_Russia
бирск,россия	Birsk
парфеньевский район,россия	Parfenyevsky_District
калининск,россия	Kalininsk,_Saratov_Oblast
щелковский район,россия	Shchyolkovsky_District
дунай,россия	Dunay,_Primorsky_Krai
ус-кюель,россия	Us-Kyuyol
строитель,россия	Stroitel,_Belgorod_Oblast
оренбургский район,россия	Orenburgsky_District
усогорск,россия	Usogorsk
власих,россия	Vlasikha,_Moscow_Oblast
алатырь,россия	Alatyr,_Chuvash_Republic
боробула,россия	Borobul
толмачево,россия	Tolmachyovo
ретинский,россия	Retinskoye
никольский,россия	Nikolsky,_Sakha_Republic
мамадыш,россия	Mamadysh
пряжа,россия	Pryazha
асбест,россия	Asbest
эльгян,россия	Elgyan
район братеево,россия	Brateyevo_District
краскино,россия	Kraskino
чебсар,россия	Chyobsara
катав-ивановск,россия	Katav-Ivanovsk
ленинск-кузнецкий,россия	Leninsk-Kuznetsky_(city)
пулозеро,россия	Pulozero
луг,россия	Luga,_Leningrad_Oblast
ямало-ненецкий автономный округ,россия	Yamalo-Nenets_Autonomous_Okrug
кусинский район,россия	Kusinsky_District
жигулевск,россия	Zhigulyovsk
красномайский,россия	Krasnomaysky,_Tver_Oblast
вяземский,россия	Vyazemsky,_Khabarovsk_Krai
никольский район,россия	Nikolsky_District,_Penza_Oblast
жирятинский район,россия	Zhiryatinsky_District
шадринск,россия	Shadrinsk
кинель-черкасский район,россия	Kinel-Cherkassky_District
белый море,россия	Beloye_More_(rural_locality)
новоузенск,россия	Novouzensk
севск,россия	Sevsk,_Bryansk_Oblast
лапландский заповедник,россия	Laplandsky_Zapovednik
куженер,россия	Kuzhener,_Mari_El_Republic
волоколамский район,россия	Volokolamsky_District
стрежевой,россия	Strezhevoy
уренский район,россия	Urensky_District
одинцово,россия	Odintsovo
туймазы,россия	Tuymazy
кадников,россия	Kadnikov
поронайск,россия	Poronaysk
лиски,россия	Liski,_Voronezh_Oblast
североонежск,россия	Severoonezhsk
эсэ-хайя,россия	Ese-Khayya
неверкинский район,россия	Neverkinsky_District
тенькинский район,россия	Tenkinsky_District
балашиха,россия	Balashikha
кузнечный,россия	Kuznechnoye
бирилюсский район,россия	Birilyussky_District
кузомень,россия	Kuzomen,_Murmansk_Oblast
подосиновский район,россия	Podosinovsky_District
кизильский район,россия	Kizilsky_District
ханты-мансийский район,россия	Khanty-Mansiysky_District
турочакский район,россия	Turochaksky_District
миасс,россия	Miass
киренский район,россия	Kirensky_District
шихан,россия	Shikhany
гаджиево,россия	Gadzhiyevo
верхний куран,россия	Verkhny_Kuranakh
алмазный,россия	Almazny,_Sakha_Republic
югорск,россия	Yugorsk
любимский район,россия	Lyubimsky_District
карапатский,россия	Karapatskoye
вельск,россия	Velsk
большеуковский район,россия	Bolsheukovsky_District
балыкте,россия	Balyktakh,_Ust-Aldansky_District,_Sakha_Republic
смородичный,россия	Smorodichny
купинский район,россия	Kupinsky_District
столб,россия	Stolby,_Verkhoyansky_District,_Sakha_Republic
константиновск,россия	Konstantinovsk
кандалакшский район,россия	Kandalakshsky_District
иультинский район,россия	Iultinsky_District
моркок,россия	Morkoka
республика ингушетия,россия	Ingushetia
велиж,россия	Velizh
бийск,россия	Biysk
петропавловский район,россия	Petropavlovsky_District,_Voronezh_Oblast
тайцы,россия	Taytsy
васильсурск,россия	Vasilsursk
коломенский район,россия	Kolomensky_District
луховицкий район,россия	Lukhovitsky_District
клинцовский район,россия	Klintsovsky_District
даппарай,россия	Dapparay
ядрин,россия	Yadrin
йошкар-ола,россия	Yoshkar-Ola
оленекский улус,россия	Olenyoksky_District
куньинский район,россия	Kunyinsky_District
цыпнаволакивать,россия	Tsypnavolok
болгарин,россия	Bolgar,_Spassky_District,_Republic_of_Tatarstan
сватать,россия	Svatay
илирный,россия	Ilirney
николаевск-на-амур,россия	Nikolayevsk-on-Amur
усмань,россия	Usman,_Russia
заря,россия	Zarya,_Sakha_Republic
нолинск,россия	Nolinsk
ижевск,россия	Izhevsk
торбеево,россия	Torbeyevo,_Republic_of_Mordovia
архаринский район,россия	Arkharinsky_District
бологое,россия	Bologoye,_Tver_Oblast
баяндаевский район,россия	Bayandayevsky_District
полесск,россия	Polessk
торжокский район,россия	Torzhoksky_District
хара-тумул,россия	Khara-Tumul
турковский район,россия	Turkovsky_District
алакуртти,россия	Alakurtti_(rural_locality)
маст,россия	Mastakh
дружный горка,россия	Druzhnaya_Gorka,_Leningrad_Oblast
прохладный,россия	Prokhladny,_Kabardino-Balkar_Republic
вуктыл,россия	Vuktyl
мегион,россия	Megion
котлас,россия	Kotlas
красноармейск,россия	Krasnoarmeysk,_Saratov_Oblast
бисерть,россия	Bisert
россошь,россия	Rossosh,_Rossoshansky_District,_Voronezh_Oblast
семикаракорский район,россия	Semikarakorsky_District
альбурикент,россия	Alburikent
карачаево-черкесский республика,россия	Karachay-Cherkessia
аян,россия	Ayan,_Russia
уфа,россия	Ufa
алзамай,россия	Alzamay
чаранг,россия	Charang,_Ust-Aldansky_District,_Sakha_Republic
дубровский район,россия	Dubrovsky_District
первомайский,россия	Pervomaysky_(urban-type_settlement),_Kirov_Oblast
приозерный,россия	Priozerny,_Murmansk_Oblast
некоузский район,россия	Nekouzsky_District
шлиссельбург,россия	Shlisselburg
бедема,россия	Bedemyo
ирбейский район,россия	Irbeysky_District
няксимволь,россия	Nyaksimvol
хатас,россия	Khatas
чусовой,россия	Chusovoy
усть-алданский улус,россия	Ust-Aldansky_District
воткинск,россия	Votkinsk
чамзинка,россия	Chamzinka,_Chamzinsky_District,_Republic_of_Mordovia
аша,россия	Asha,_Russia
дорогобуж,россия	Dorogobuzh
межевской район,россия	Mezhevskoy_District
тевризский район,россия	Tevrizsky_District
федосеевка,россия	Fedoseyevka,_Murmansk_Oblast
кольцово,россия	Koltsovo,_Novosibirsk_Oblast
верхний фиагдон,россия	Verkhny_Fiagdon
алексинский район,россия	Aleksinsky_District
шамхал,россия	Shamkhal,_Russia
вагайский район,россия	Vagaysky_District
святой нос,россия	Svyatoy_Nos,_Murmansk_Oblast
ситт,россия	Sitte,_Kobyaysky_District,_Sakha_Republic
миньяр,россия	Minyar
томтор,россия	Tomtor,_Ust-Aldansky_District,_Sakha_Republic
вилюйский улус,россия	Vilyuysky_District
березовский,россия	Beryozovsky,_Sverdlovsk_Oblast
жарковский,россия	Zharkovsky_(urban-type_settlement)
матт,россия	Matta,_Russia
малый вишера,россия	Malaya_Vishera
эйик,россия	Eyik
катайск,россия	Kataysk,_Kurgan_Oblast
юбилейный,россия	Yubileyny,_Moscow_Oblast
смидовичский район,россия	Smidovichsky_District
пугачев,россия	Pugachyov
осташковский район,россия	Ostashkovsky_District
красноармейский район,россия	Krasnoarmeysky_District,_Saratov_Oblast
самодед,россия	Samoded
ухоловский район,россия	Ukholovsky_District
кашарский район,россия	Kasharsky_District
харбала 1-я,россия	Kharbala_1-ya
пижанский район,россия	Pizhansky_District
красный кут,россия	Krasny_Kut,_Saratov_Oblast
республика бурятия,россия	Buryatia
смоленский область,россия	Smolensk_Oblast
мышкинский район,россия	Myshkinsky_District
чычым,россия	Chychymakh
молоковский район,россия	Molokovsky_District
брейтовский район,россия	Breytovsky_District
кузнецк,россия	Kuznetsk
заплюсье,россия	Zaplyusye_(urban-type_settlement)
быракан,россия	Byrakan
кондинский район,россия	Kondinsky_District
усть-илимский район,россия	Ust-Ilimsky_District
уолба,россия	Uolba
южнопортовый район,россия	Yuzhnoportovy_District
грозный,россия	Grozny
палехский район,россия	Palekhsky_District
полярный,россия	Polyarny,_Sakha_Republic
оймякон,россия	Oymyakon
алтайский край,россия	Altai_Krai
озеры,россия	Ozyory,_Moscow_Oblast
ой,россия	Oy,_Russia
луза,россия	Luza,_Luzsky_District,_Kirov_Oblast
кирово,россия	Kirovo,_Sakha_Republic
краснознаменский район,россия	Krasnoznamensky_District
азы,россия	Azov
мамско-чуйский район,россия	Mamsko-Chuysky_District
молчановский район,россия	Molchanovsky_District
некрасовский район,россия	Nekrasovsky_District
кунашакский район,россия	Kunashaksky_District
кондопога,россия	Kondopoga
куда,россия	Kudu,_Russia
нижнеингашский район,россия	Nizhneingashsky_District
старокулаткинский район,россия	Starokulatkinsky_District
рыбновский район,россия	Rybnovsky_District
краснобродский,россия	Krasnobrodsky
емва,россия	Yemva
салехард,россия	Salekhard
топкинский район,россия	Topkinsky_District
касимовский район,россия	Kasimovsky_District
чапом,россия	Chapoma
кингисепп,россия	Kingisepp
западный двина,россия	Zapadnaya_Dvina
палкинский район,россия	Palkinsky_District
кошкинский район,россия	Koshkinsky_District
чудово,россия	Chudovo,_Chudovsky_District,_Novgorod_Oblast
энгольжа,россия	Engolzha
москаленский район,россия	Moskalensky_District
козьмодемьянск,россия	Kozmodemyansk,_Mari_El_Republic
ергелех,россия	Yergyolyokh
ойусард,россия	Oyusardakh
ноябрьск,россия	Noyabrsk
оксовский,россия	Oksovsky
свирьстрой,россия	Svirstroy
лискинский район,россия	Liskinsky_District
омсукчанский район,россия	Omsukchansky_District
сортол,россия	Sortol
беджелек,россия	Bedzhelek
агинское,россия	Aginskoye,_Zabaykalsky_Krai
гагарин,россия	Gagarin,_Smolensk_Oblast
нерчинск,россия	Nerchinsk
аркадакский район,россия	Arkadaksky_District
абдулинский район,россия	Abdulinsky_District
партизан,россия	Partizan,_Sakha_Republic
куолоярви,россия	Kuoloyarvi
маркс,россия	Marks,_Russia
морозовский район,россия	Morozovsky_District
грязь,россия	Gryazi
бутурлиновка,россия	Buturlinovka
юрг,россия	Yurga
смирный,россия	Smirnykh
холм-жирковский район,россия	Kholm-Zhirkovsky_District
чердынь,россия	Cherdyn,_Perm_Krai
сухобузимский район,россия	Sukhobuzimsky_District
калачинск,россия	Kalachinsk
сонковский район,россия	Sonkovsky_District
тинный,россия	Tinnaya
кудымкара,россия	Kudymkar
хатанга,россия	Khatanga,_Russia
каслинский район,россия	Kaslinsky_District
бестях,россия	Bestyakh,_Zhigansky_District,_Sakha_Republic
ломтук,россия	Lomtuka
бирюч,россия	Biryuch
валуйский район,россия	Valuysky_District
комсомольск,россия	Komsomolsk,_Ivanovo_Oblast
пономаревский район,россия	Ponomaryovsky_District
пыталовский район,россия	Pytalovsky_District
печора,россия	Pechory
миляка,россия	Milyake
полярный заря,россия	Polyarnye_Zori
облучье,россия	Obluchye,_Jewish_Autonomous_Oblast
кыстатыам,россия	Kystatyam
орша,россия	Orsha_(urban-type_settlement),_Tver_Oblast
кубачи,россия	Kubachi_(urban-type_settlement)
котельнич,россия	Kotelnich
пролетарий,россия	Proletariy
риколатва,россия	Rikolatva
пелым,россия	Pelym,_Ivdel,_Sverdlovsk_Oblast
андреапольский район,россия	Andreapolsky_District
бикин,россия	Bikin
краснодарский край,россия	Krasnodar_Krai
стародубский район,россия	Starodubsky_District
костенок,россия	Kostyonki,_Voronezh_Oblast
ковда,россия	Kovda,_Zelenoborsky,_Kandalakshsky_District,_Murmansk_Oblast
ойун-унгуохт,россия	Oyun-Unguokhtakh
донской,россия	Donskoy,_Tula_Oblast
нововоронеж,россия	Novovoronezh
ногинский район,россия	Noginsky_District
батамай,россия	Batamay,_Lensky_District,_Sakha_Republic
остров,россия	Ostrov,_Ostrovsky_District,_Pskov_Oblast
дзержинский,россия	Dzerzhinsky,_Moscow_Oblast
чеховский район,россия	Chekhovsky_District
чишмы,россия	Chishmy_(urban-type_settlement),_Chishminsky_District,_Republic_of_Bashkortostan
бузулукский район,россия	Buzuluksky_District
хани,россия	Khani,_Sakha_Republic
калтан,россия	Kaltan
вадинский район,россия	Vadinsky_District
мартыновский район,россия	Martynovsky_District
неклиновский район,россия	Neklinovsky_District
умба,россия	Umba,_Russia
кореневский район,россия	Korenevsky_District
благодарный,россия	Blagodarny,_Stavropol_Krai
дябыл,россия	Dyabyla
лениногорск,россия	Leninogorsk,_Russia
алексеевка,россия	Alexeyevka,_Sakha_Republic
батецкий,россия	Batetsky_(rural_locality)
медвенский район,россия	Medvensky_District
кош-агачский район,россия	Kosh-Agachsky_District
ишимский район,россия	Ishimsky_District
константиновский район,россия	Konstantinovsky_District,_Rostov_Oblast
белозерск,россия	Belozersk
вохтог,россия	Vokhtoga
андреаполь,россия	Andreapol
викуловский район,россия	Vikulovsky_District
елецкий район,россия	Yeletsky_District
бирюк,россия	Biryuk_(rural_locality)
городище,россия	Gorodishche,_Gorodishchensky_District,_Penza_Oblast
кизилюрт,россия	Kizilyurt
путевой усадьба 9 км железный дорога луостарь–никель,россия	Putevaya_Usadba_9_km_zheleznoy_dorogi_Luostari–Nikel
елховский район,россия	Yelkhovsky_District
веселый,россия	Vesyoloye,_Krasnodar_Krai
завитинск,россия	Zavitinsk
воловский район,россия	Volovsky_District,_Tula_Oblast
урюпинск,россия	Uryupinsk
хоро,россия	Khoro,_Verkhnevilyuysky_District,_Sakha_Republic
нарым,россия	Narym
невель,россия	Nevel_(town)
тамалинский район,россия	Tamalinsky_District
гай,россия	Gay,_Orenburg_Oblast
угольный,россия	Ugolnoye,_Sakha_Republic
южский район,россия	Yuzhsky_District
токко,россия	Tokko,_Russia
заводоуковский район,россия	Zavodoukovsky_District
шумиха,россия	Shumikha,_Kurgan_Oblast
шилка,россия	Shilka_(town)
песчанокопский район,россия	Peschanokopsky_District
хоточча,россия	Khotochchu
эвенкийский район,россия	Evenkiysky_District
верхнедонской район,россия	Verkhnedonskoy_District
томилино,россия	Tomilino
буор-сыс,россия	Buor-Sysy
яблоновский,россия	Yablonovsky,_Republic_of_Adygea
кувшиново,россия	Kuvshinovo,_Kuvshinovsky_District,_Tver_Oblast
оля,россия	Olya
александровск,россия	Alexandrovsk,_Perm_Krai
ивантеевка,россия	Ivanteyevka,_Moscow_Oblast
рузаевка,россия	Ruzayevka
кузоватовский район,россия	Kuzovatovsky_District
буинск,россия	Buinsk,_Republic_of_Tatarstan
мурья,россия	Murya,_Russia
бутурлинский район,россия	Buturlinsky_District
республика тыва,россия	Tuva
скопин,россия	Skopin
милютинский район,россия	Milyutinsky_District
светлоград,россия	Svetlograd
вятский поляна,россия	Vyatskiye_Polyany
мурашинский район,россия	Murashinsky_District
майский,россия	Maysky,_Kabardino-Balkar_Republic
веневский район,россия	Venyovsky_District
среднеколымск,россия	Srednekolymsk
алейск,россия	Aleysk
тетюши,россия	Tetyushi,_Republic_of_Tatarstan
вырица,россия	Vyritsa
пеновский район,россия	Penovsky_District
пено,россия	Peno,_Russia
пермь,россия	Perm
подгоренский район,россия	Podgorensky_District
балашов,россия	Balashov_(town)
бугульма,россия	Bugulma
тайбол,россия	Taybola
орджоникидзевский,россия	Ordzhonikidzevsky_(urban-type_settlement)
кильмезский район,россия	Kilmezsky_District
мурманск,россия	Murmansk
нейский район,россия	Neysky_District
ивантеевский район,россия	Ivanteyevsky_District
республика крым,россия	Republic_of_Crimea
ясногорск,россия	Yasnogorsk,_Tula_Oblast
ловозеро,россия	Lovozero_(rural_locality)
республика адыгея,россия	Adygea
макушино,россия	Makushino,_Kurgan_Oblast
сеченовский район,россия	Sechenovsky_District
глинковский район,россия	Glinkovsky_District
воробьевский район,россия	Vorobyovsky_District
михайловский район,россия	Mikhaylovsky_District,_Volgograd_Oblast
чернышевский,россия	Chernyshevsky,_Sakha_Republic
усть-ыныкчанин,россия	Ust-Ynykchan
еткульский район,россия	Yetkulsky_District
урдом,россия	Urdoma,_Lensky_District,_Arkhangelsk_Oblast
сергино,россия	Sergino,_Khanty-Mansi_Autonomous_Okrug
сергачский район,россия	Sergachsky_District
тырныауз,россия	Tyrnyauz
сенгилей,россия	Sengiley
мичуринск,россия	Michurinsk
бядя,россия	Byadi
хилок,россия	Khilok,_Zabaykalsky_Krai
яровой,россия	Yarovoye,_Altai_Krai
кюндяй,россия	Kyundyae
губаха,россия	Gubakha
спас-клепики,россия	Spas-Klepiki
усть-удинский район,россия	Ust-Udinsky_District
ала,россия	Aly
валдай,россия	Valday,_Novgorod_Oblast
котельниковский район,россия	Kotelnikovsky_District
карабаново,россия	Karabanovo,_Vladimir_Oblast
гайский район,россия	Gaysky_District
белово,россия	Belovo,_Kemerovo_Oblast
красногорск,россия	Krasnogorsk,_Moscow_Oblast
клин,россия	Klin,_Klinsky_District,_Moscow_Oblast
панковка,россия	Pankovka
нестеров,россия	Nesterov
новомосковский район,россия	Novomoskovsky_District
ревда,россия	Revda,_Sverdlovsk_Oblast
сырдах,россия	Syrdakh,_Ust-Aldansky_District,_Sakha_Republic
бавлы,россия	Bavly
хатырка,россия	Khatyrka
дзержинский район,россия	Dzerzhinsky_District,_Krasnoyarsk_Krai
свободненский район,россия	Svobodnensky_District
еманжелинский район,россия	Yemanzhelinsky_District
дубок,россия	Dubki,_Republic_of_Dagestan
кинешемский район,россия	Kineshemsky_District
хоногор,россия	Khonogor
орочный 2-й,россия	Orochen_2-y
сунтарский улус,россия	Suntarsky_District
чернский район,россия	Chernsky_District
бысыттах,россия	Bysyttakh
большереченский район,россия	Bolsherechensky_District
пиренга,россия	Pirenga
полазный,россия	Polazna
мирный,россия	Mirny,_Sakha_Republic
лебедянь,россия	Lebedyan
энгельс,россия	Engels,_Saratov_Oblast
лянтор,россия	Lyantor
тутаев,россия	Tutayev
кироваул,россия	Kirovaul
якутск,россия	Yakutsk
печорский район,россия	Pechorsky_District
лев-толстовский район,россия	Lev-Tolstovsky_District
билибинский район,россия	Bilibinsky_District
няла,россия	Nyal
кирсанов,россия	Kirsanov
рудня,россия	Rudnya,_Rudnyansky_District,_Smolensk_Oblast
мизура,россия	Mizur
мишкинский район,россия	Mishkinsky_District,_Kurgan_Oblast
сычевский район,россия	Sychyovsky_District
пышминский район,россия	Pyshminsky_District
тербунский район,россия	Terbunsky_District
анжеро-судженск,россия	Anzhero-Sudzhensk
новый уренгой,россия	Novy_Urengoy
хатынгна,россия	Khatyngnakh
новый ляля,россия	Novaya_Lyalya
республика хакасия,россия	Khakassia
должанский район,россия	Dolzhansky_District
боровск,россия	Borovsk
рубцовск,россия	Rubtsovsk
нерехтский район,россия	Nerekhtsky_District
ознобишин,россия	Oznobishino,_Vladimir_Oblast
егорлыкский район,россия	Yegorlyksky_District
курагинский район,россия	Kuraginsky_District
корсаков,россия	Korsakov_(town)
дроздовка,россия	Drozdovka,_Murmansk_Oblast
северомуйск,россия	Severomuysk
ербогатить,россия	Yerbogachen
оренбург,россия	Orenburg
хамра,россия	Khamra
тереньгульский район,россия	Terengulsky_District
кадомский район,россия	Kadomsky_District
сузунский район,россия	Suzunsky_District
кушкопать,россия	Kushkopala
заволжский район,россия	Zavolzhsky_District,_Ivanovo_Oblast
иловлинский район,россия	Ilovlinsky_District
котово,россия	Kotovo,_Volgograd_Oblast
район ореховый-борисово южный,россия	Orekhovo-Borisovo_Yuzhnoye_District
старицкий район,россия	Staritsky_District
белгород,россия	Belgorod
оюсут,россия	Oyusut
балаганск,россия	Balagansk
куртамыш,россия	Kurtamysh_(town)
шарлыкский район,россия	Sharlyksky_District
дубно,россия	Dubna
аллаиховский улус,россия	Allaikhovsky_District
краснозоренский район,россия	Krasnozorensky_District
чебоксары,россия	Cheboksary
нагайбакский район,россия	Nagaybaksky_District
кулотина,россия	Kulotino,_Novgorod_Oblast
невинномысск,россия	Nevinnomyssk
матвеевский район,россия	Matveyevsky_District
инзенский район,россия	Inzensky_District
джаргал,россия	Dzhargalakh
олом-кюель,россия	Olom-Kyuyole
раякоски,россия	Rayakoski
петуховский район,россия	Petukhovsky_District
хотынецкий район,россия	Khotynetsky_District
советский,россия	Sovetsky,_Mari_El_Republic
бековский район,россия	Bekovsky_District
бютейдях,россия	Byuteydyakh,_Verkhnevilyuysky_District,_Sakha_Republic
имя бабушкин,россия	Imeni_Babushkina
волоконовский район,россия	Volokonovsky_District
сосновоборский район,россия	Sosnovoborsky_District
ижморский район,россия	Izhmorsky_District
вадский район,россия	Vadsky_District
называевск,россия	Nazyvayevsk
ойотунг,россия	Oyotung
кашкаранец,россия	Kashkarantsy
зуевка,россия	Zuyevka,_Kirov_Oblast
