Славянск	Slavyansk-na-Kubani
Пыть-Ях	Pyt-Yakh
Благовещенск	Blagoveshchensk
Хаты	Khaty
Клепиковский район	Klepikovsky_District
Алысардах	Alysardakh,_Verkhoyansky_District,_Sakha_Republic
Казачинско-Ленский район	Kazachinsko-Lensky_District
Назия	Naziya
Сапожковский район	Sapozhkovsky_District
Старая Русса	Staraya_Russa
Сатагай	Satagay,_Vilyuysky_District,_Sakha_Republic
Асекеевский район	Asekeyevsky_District
Щёлково	Shchyolkovo
Балтийский район	Baltiysky_District,_Kaliningrad_Oblast
Микунь	Mikun
Ангарск	Angarsk
Пушкинский район	Pushkinsky_District,_Moscow_Oblast
Ударный	Udarny,_Karachay-Cherkess_Republic
Верещагино	Vereshchagino,_Vereshchaginsky_District,_Perm_Krai
Тарат	Tarat,_Russia
Юрино	Yurino,_Mari_El_Republic
Самойловский район	Samoylovsky_District
Комсомольск-на-Амуре	Komsomolsk-on-Amur
Безенчукский район	Bezenchuksky_District
Корочанский район	Korochansky_District
Снежное	Snezhnoye,_Chukotka_Autonomous_Okrug
Крестовский лесоучасток	Krestovsky_Lesouchastok
Волжский	Volzhsky,_Volgograd_Oblast
Новосибирская область	Novosibirsk_Oblast
Лобня	Lobnya
Саратовская область	Saratov_Oblast
Лысковский район	Lyskovsky_District
Волжск	Volzhsk
Палкино	Palkino,_Palkinsky_District,_Pskov_Oblast
Красный Луч	Krasny_Luch,_Pskov_Oblast
Магнитогорск	Magnitogorsk
Намский улус	Namsky_District
Дрезна	Drezna
Наровчатский район	Narovchatsky_District
Борисоглебск	Borisoglebsk
Медногорский	Mednogorsky
Осташков	Ostashkov
Дорожный	Dorozhny
Гагино	Gagino,_Moscow_Oblast
Саргатский район	Sargatsky_District
Муравленко	Muravlenko
Кюбяинде	Kyubyainde
Магаданская область	Magadan_Oblast
Еманжелинск	Yemanzhelinsk
Кочегарово	Kochegarovo
Бежецк	Bezhetsk
Тюльганский район	Tyulgansky_District
Парабельский район	Parabelsky_District
Нижневартовский район	Nizhnevartovsky_District
Осохтох	Osokhtokh
Кескил	Keskil
Архангельск	Arkhangelsk
Юрьев-Польский	Yuryev-Polsky_(town)
Северный район	Severny_District,_Orenburg_Oblast
Чериктей	Cheriktey
Кандалакша	Kandalaksha
Клявлинский район	Klyavlinsky_District
Туапсе	Tuapse
район Хорошево-Мневники	Khoroshevo-Mnevniki_District
Куровское	Kurovskoye,_Moscow_Oblast
Жуковка	Zhukovka,_Bryansk_Oblast
Видное	Vidnoye,_Moscow_Oblast
Хибины	Khibiny,_Murmansk_Oblast
Выгоничский район	Vygonichsky_District
Боготольский район	Bogotolsky_District
Чекалин	Chekalin
Волчанск	Volchansk
Минеральные Воды	Mineralnye_Vody
Знаменск	Znamensk,_Astrakhan_Oblast
Мантурово	Manturovo,_Kostroma_Oblast
район Крюково	Kryukovo_District
Харбалах	Kharbalakh
Плесецкий район	Plesetsky_District
Белгородская область	Belgorod_Oblast
Наро-Фоминск	Naro-Fominsk
Вилюйск	Vilyuysk
Далматовский район	Dalmatovsky_District
Кондрово	Kondrovo,_Kaluga_Oblast
Верхнекамский район	Verkhnekamsky_District
Белинский район	Belinsky_District
Уйский район	Uysky_District
Пластовский район	Plastovsky_District
Колпнянский район	Kolpnyansky_District
Ирбит	Irbit
Алексин	Aleksin
Тара	Tara,_Omsk_Oblast
Томск	Tomsk
Боковский район	Bokovsky_District
Синегорье	Sinegorye
Упоровский район	Uporovsky_District
Красносельский район	Krasnoselsky_District,_Kostroma_Oblast
Вичугский район	Vichugsky_District
Чесменский район	Chesmensky_District
Изъяю	Izyayu
Максатихинский район	Maksatikhinsky_District
Ноглики	Nogliki
Сандовский район	Sandovsky_District
Локнянский район	Loknyansky_District
Шацкий район	Shatsky_District
Инсар	Insar,_Insarsky_District,_Republic_of_Mordovia
Рыбное	Rybnoye,_Ryazan_Oblast
Муром	Murom
Теплый Ключ	Teply_Klyuch
Елизово	Yelizovo
Кюёрелях	Kyuyorelyakh
Антроповский район	Antropovsky_District
Яранский район	Yaransky_District
Аромашевский район	Aromashevsky_District
Шербакульский район	Sherbakulsky_District
Чёрюмче	Chyoryumche
Заринск	Zarinsk
Фрунзе	Frunze,_Sakha_Republic
Кириши	Kirishi
Мга	Mga
Верхняя Пышма	Verkhnyaya_Pyshma
Октябрьский район	Oktyabrsky_District,_Volgograd_Oblast
Пинозеро	Pinozero
Эжанцы	Ezhantsy
Бутурлиновский район	Buturlinovsky_District
Смоленский район	Smolensky_District,_Smolensk_Oblast
Молоково	Molokovo,_Molokovsky_District,_Tver_Oblast
Гаринский район	Garinsky_District
Седельниковский район	Sedelnikovsky_District
Павлово	Pavlovo,_Pavlovsky_District,_Nizhny_Novgorod_Oblast
Светлый	Svetly,_Saratov_Oblast
Верея	Vereya,_Naro-Fominsky_District,_Moscow_Oblast
Кица	Kitsa,_Russia
Бирск	Birsk
Парфеньевский район	Parfenyevsky_District
Калининск	Kalininsk,_Saratov_Oblast
Щёлковский район	Shchyolkovsky_District
Дунай	Dunay,_Primorsky_Krai
Ус-Кюёль	Us-Kyuyol
Строитель	Stroitel,_Belgorod_Oblast
Оренбургский район	Orenburgsky_District
Усогорск	Usogorsk
Власиха	Vlasikha,_Moscow_Oblast
Алатырь	Alatyr,_Chuvash_Republic
Боробул	Borobul
Толмачёво	Tolmachyovo
Ретинское	Retinskoye
Никольский	Nikolsky,_Sakha_Republic
Мамадыш	Mamadysh
Пряжа	Pryazha
Асбест	Asbest
Эльгян	Elgyan
район Братеево	Brateyevo_District
Краскино	Kraskino
Чёбсара	Chyobsara
Катав-Ивановск	Katav-Ivanovsk
Ленинск-Кузнецкий	Leninsk-Kuznetsky_(city)
Пулозеро	Pulozero
Луга	Luga,_Leningrad_Oblast
Ямало-Ненецкий автономный округ	Yamalo-Nenets_Autonomous_Okrug
Кусинский район	Kusinsky_District
Жигулёвск	Zhigulyovsk
Красномайский	Krasnomaysky,_Tver_Oblast
Вяземский	Vyazemsky,_Khabarovsk_Krai
Никольский район	Nikolsky_District,_Penza_Oblast
Жирятинский район	Zhiryatinsky_District
Шадринск	Shadrinsk
Кинель-Черкасский район	Kinel-Cherkassky_District
Белое Море	Beloye_More_(rural_locality)
Новоузенск	Novouzensk
Севск	Sevsk,_Bryansk_Oblast
Лапландский заповедник	Laplandsky_Zapovednik
Куженер	Kuzhener,_Mari_El_Republic
Волоколамский район	Volokolamsky_District
Стрежевой	Strezhevoy
Уренский район	Urensky_District
Одинцово	Odintsovo
Туймазы	Tuymazy
Кадников	Kadnikov
Поронайск	Poronaysk
Лиски	Liski,_Voronezh_Oblast
Североонежск	Severoonezhsk
Эсэ-Хайя	Ese-Khayya
Неверкинский район	Neverkinsky_District
Тенькинский район	Tenkinsky_District
Балашиха	Balashikha
Кузнечное	Kuznechnoye
Бирилюсский район	Birilyussky_District
Кузомень	Kuzomen,_Murmansk_Oblast
Подосиновский район	Podosinovsky_District
Кизильский район	Kizilsky_District
Ханты-Мансийский район	Khanty-Mansiysky_District
Турочакский район	Turochaksky_District
Миасс	Miass
Киренский район	Kirensky_District
Шиханы	Shikhany
Гаджиево	Gadzhiyevo
Верхний Куранах	Verkhny_Kuranakh
Алмазный	Almazny,_Sakha_Republic
Югорск	Yugorsk
Любимский район	Lyubimsky_District
Карапатское	Karapatskoye
Вельск	Velsk
Большеуковский район	Bolsheukovsky_District
Балыктах	Balyktakh,_Ust-Aldansky_District,_Sakha_Republic
Смородичный	Smorodichny
Купинский район	Kupinsky_District
Столбы	Stolby,_Verkhoyansky_District,_Sakha_Republic
Константиновск	Konstantinovsk
Кандалакшский район	Kandalakshsky_District
Иультинский район	Iultinsky_District
Моркока	Morkoka
Республика Ингушетия	Ingushetia
Велиж	Velizh
Бийск	Biysk
Петропавловский район	Petropavlovsky_District,_Voronezh_Oblast
Тайцы	Taytsy
Васильсурск	Vasilsursk
Коломенский район	Kolomensky_District
Луховицкий район	Lukhovitsky_District
Клинцовский район	Klintsovsky_District
Даппарай	Dapparay
Ядрин	Yadrin
Йошкар-Ола	Yoshkar-Ola
Оленёкский улус	Olenyoksky_District
Куньинский район	Kunyinsky_District
Цыпнаволок	Tsypnavolok
Болгар	Bolgar,_Spassky_District,_Republic_of_Tatarstan
Сватай	Svatay
Илирней	Ilirney
Николаевск-на-Амуре	Nikolayevsk-on-Amur
Усмань	Usman,_Russia
Заря	Zarya,_Sakha_Republic
Нолинск	Nolinsk
Ижевск	Izhevsk
Торбеево	Torbeyevo,_Republic_of_Mordovia
Архаринский район	Arkharinsky_District
Бологое	Bologoye,_Tver_Oblast
Баяндаевский район	Bayandayevsky_District
Полесск	Polessk
Торжокский район	Torzhoksky_District
Хара-Тумул	Khara-Tumul
Турковский район	Turkovsky_District
Алакуртти	Alakurtti_(rural_locality)
Мастах	Mastakh
Дружная Горка	Druzhnaya_Gorka,_Leningrad_Oblast
Прохладный	Prokhladny,_Kabardino-Balkar_Republic
Вуктыл	Vuktyl
Мегион	Megion
Котлас	Kotlas
Красноармейск	Krasnoarmeysk,_Saratov_Oblast
Бисерть	Bisert
Россошь	Rossosh,_Rossoshansky_District,_Voronezh_Oblast
Семикаракорский район	Semikarakorsky_District
Альбурикент	Alburikent
Карачаево-Черкесская Республика	Karachay-Cherkessia
Аян	Ayan,_Russia
Уфа	Ufa
Алзамай	Alzamay
Чаранг	Charang,_Ust-Aldansky_District,_Sakha_Republic
Дубровский район	Dubrovsky_District
Первомайский	Pervomaysky_(urban-type_settlement),_Kirov_Oblast
Приозерный	Priozerny,_Murmansk_Oblast
Некоузский район	Nekouzsky_District
Шлиссельбург	Shlisselburg
Бедемё	Bedemyo
Ирбейский район	Irbeysky_District
Няксимволь	Nyaksimvol
Хатас	Khatas
Чусовой	Chusovoy
Усть-Алданский улус	Ust-Aldansky_District
Воткинск	Votkinsk
Чамзинка	Chamzinka,_Chamzinsky_District,_Republic_of_Mordovia
Аша	Asha,_Russia
Дорогобуж	Dorogobuzh
Межевской район	Mezhevskoy_District
Тевризский район	Tevrizsky_District
Федосеевка	Fedoseyevka,_Murmansk_Oblast
Кольцово	Koltsovo,_Novosibirsk_Oblast
Верхний Фиагдон	Verkhny_Fiagdon
Алексинский район	Aleksinsky_District
Шамхал	Shamkhal,_Russia
Вагайский район	Vagaysky_District
Святой Нос	Svyatoy_Nos,_Murmansk_Oblast
Ситте	Sitte,_Kobyaysky_District,_Sakha_Republic
Миньяр	Minyar
Томтор	Tomtor,_Ust-Aldansky_District,_Sakha_Republic
Вилюйский улус	Vilyuysky_District
Берёзовский	Beryozovsky,_Sverdlovsk_Oblast
Жарковский	Zharkovsky_(urban-type_settlement)
Матта	Matta,_Russia
Малая Вишера	Malaya_Vishera
Эйик	Eyik
Катайск	Kataysk,_Kurgan_Oblast
Юбилейный	Yubileyny,_Moscow_Oblast
Смидовичский район	Smidovichsky_District
Пугачёв	Pugachyov
Осташковский район	Ostashkovsky_District
Красноармейский район	Krasnoarmeysky_District,_Saratov_Oblast
Самодед	Samoded
Ухоловский район	Ukholovsky_District
Кашарский район	Kasharsky_District
Харбала 1-я	Kharbala_1-ya
Пижанский район	Pizhansky_District
Красный Кут	Krasny_Kut,_Saratov_Oblast
Республика Бурятия	Buryatia
Смоленская область	Smolensk_Oblast
Мышкинский район	Myshkinsky_District
Чычымах	Chychymakh
Молоковский район	Molokovsky_District
Брейтовский район	Breytovsky_District
Кузнецк	Kuznetsk
Заплюсье	Zaplyusye_(urban-type_settlement)
Быракан	Byrakan
Кондинский район	Kondinsky_District
Усть-Илимский район	Ust-Ilimsky_District
Уолба	Uolba
Южнопортовый район	Yuzhnoportovy_District
Грозный	Grozny
Палехский район	Palekhsky_District
Полярный	Polyarny,_Sakha_Republic
Оймякон	Oymyakon
Алтайский край	Altai_Krai
Озёры	Ozyory,_Moscow_Oblast
Ой	Oy,_Russia
Луза	Luza,_Luzsky_District,_Kirov_Oblast
Кирово	Kirovo,_Sakha_Republic
Краснознаменский район	Krasnoznamensky_District
Азов	Azov
Мамско-Чуйский район	Mamsko-Chuysky_District
Молчановский район	Molchanovsky_District
Некрасовский район	Nekrasovsky_District
Кунашакский район	Kunashaksky_District
Кондопога	Kondopoga
Куду	Kudu,_Russia
Нижнеингашский район	Nizhneingashsky_District
Старокулаткинский район	Starokulatkinsky_District
Рыбновский район	Rybnovsky_District
Краснобродский	Krasnobrodsky
Емва	Yemva
Салехард	Salekhard
Топкинский район	Topkinsky_District
Касимовский район	Kasimovsky_District
Чапома	Chapoma
Кингисепп	Kingisepp
Западная Двина	Zapadnaya_Dvina
Палкинский район	Palkinsky_District
Кошкинский район	Koshkinsky_District
Чудово	Chudovo,_Chudovsky_District,_Novgorod_Oblast
Энгольжа	Engolzha
Москаленский район	Moskalensky_District
Козьмодемьянск	Kozmodemyansk,_Mari_El_Republic
Ергёлёх	Yergyolyokh
Ойусардах	Oyusardakh
Ноябрьск	Noyabrsk
Оксовский	Oksovsky
Свирьстрой	Svirstroy
Лискинский район	Liskinsky_District
Омсукчанский район	Omsukchansky_District
Сортол	Sortol
Беджелек	Bedzhelek
Агинское	Aginskoye,_Zabaykalsky_Krai
Гагарин	Gagarin,_Smolensk_Oblast
Нерчинск	Nerchinsk
Аркадакский район	Arkadaksky_District
Абдулинский район	Abdulinsky_District
Партизан	Partizan,_Sakha_Republic
Куолоярви	Kuoloyarvi
Маркс	Marks,_Russia
Морозовский район	Morozovsky_District
Грязи	Gryazi
Бутурлиновка	Buturlinovka
Юрга	Yurga
Смирных	Smirnykh
Холм-Жирковский район	Kholm-Zhirkovsky_District
Чердынь	Cherdyn,_Perm_Krai
Сухобузимский район	Sukhobuzimsky_District
Калачинск	Kalachinsk
Сонковский район	Sonkovsky_District
Тинная	Tinnaya
Кудымкар	Kudymkar
Хатанга	Khatanga,_Russia
Каслинский район	Kaslinsky_District
Бестях	Bestyakh,_Zhigansky_District,_Sakha_Republic
Ломтука	Lomtuka
Бирюч	Biryuch
Валуйский район	Valuysky_District
Комсомольск	Komsomolsk,_Ivanovo_Oblast
Пономарёвский район	Ponomaryovsky_District
Пыталовский район	Pytalovsky_District
Печоры	Pechory
Миляке	Milyake
Полярные Зори	Polyarnye_Zori
Облучье	Obluchye,_Jewish_Autonomous_Oblast
Кыстатыам	Kystatyam
Орша	Orsha_(urban-type_settlement),_Tver_Oblast
Кубачи	Kubachi_(urban-type_settlement)
Котельнич	Kotelnich
Пролетарий	Proletariy
Риколатва	Rikolatva
Пелым	Pelym,_Ivdel,_Sverdlovsk_Oblast
Андреапольский район	Andreapolsky_District
Бикин	Bikin
Краснодарский край	Krasnodar_Krai
Стародубский район	Starodubsky_District
Костёнки	Kostyonki,_Voronezh_Oblast
Ковда	Kovda,_Zelenoborsky,_Kandalakshsky_District,_Murmansk_Oblast
Ойун-Унгуохтах	Oyun-Unguokhtakh
Донской	Donskoy,_Tula_Oblast
Нововоронеж	Novovoronezh
Ногинский район	Noginsky_District
Батамай	Batamay,_Lensky_District,_Sakha_Republic
Остров	Ostrov,_Ostrovsky_District,_Pskov_Oblast
Дзержинский	Dzerzhinsky,_Moscow_Oblast
Чеховский район	Chekhovsky_District
Чишмы	Chishmy_(urban-type_settlement),_Chishminsky_District,_Republic_of_Bashkortostan
Бузулукский район	Buzuluksky_District
Хани	Khani,_Sakha_Republic
Калтан	Kaltan
Вадинский район	Vadinsky_District
Мартыновский район	Martynovsky_District
Неклиновский район	Neklinovsky_District
Умба	Umba,_Russia
Кореневский район	Korenevsky_District
Благодарный	Blagodarny,_Stavropol_Krai
Дябыла	Dyabyla
Лениногорск	Leninogorsk,_Russia
Алексеевка	Alexeyevka,_Sakha_Republic
Батецкий	Batetsky_(rural_locality)
Медвенский район	Medvensky_District
Кош-Агачский район	Kosh-Agachsky_District
Ишимский район	Ishimsky_District
Константиновский район	Konstantinovsky_District,_Rostov_Oblast
Белозерск	Belozersk
Вохтога	Vokhtoga
Андреаполь	Andreapol
Викуловский район	Vikulovsky_District
Елецкий район	Yeletsky_District
Бирюк	Biryuk_(rural_locality)
Городище	Gorodishche,_Gorodishchensky_District,_Penza_Oblast
Кизилюрт	Kizilyurt
Путевая Усадьба 9 км железной дороги Луостари–Никель	Putevaya_Usadba_9_km_zheleznoy_dorogi_Luostari–Nikel
Елховский район	Yelkhovsky_District
Весёлое	Vesyoloye,_Krasnodar_Krai
Завитинск	Zavitinsk
Воловский район	Volovsky_District,_Tula_Oblast
Урюпинск	Uryupinsk
Хоро	Khoro,_Verkhnevilyuysky_District,_Sakha_Republic
Нарым	Narym
Невель	Nevel_(town)
Тамалинский район	Tamalinsky_District
Гай	Gay,_Orenburg_Oblast
Угольное	Ugolnoye,_Sakha_Republic
Южский район	Yuzhsky_District
Токко	Tokko,_Russia
Заводоуковский район	Zavodoukovsky_District
Шумиха	Shumikha,_Kurgan_Oblast
Шилка	Shilka_(town)
Песчанокопский район	Peschanokopsky_District
Хоточчу	Khotochchu
Эвенкийский район	Evenkiysky_District
Верхнедонской район	Verkhnedonskoy_District
Томилино	Tomilino
Буор-Сысы	Buor-Sysy
Яблоновский	Yablonovsky,_Republic_of_Adygea
Кувшиново	Kuvshinovo,_Kuvshinovsky_District,_Tver_Oblast
Оля	Olya
Александровск	Alexandrovsk,_Perm_Krai
Ивантеевка	Ivanteyevka,_Moscow_Oblast
Рузаевка	Ruzayevka
Кузоватовский район	Kuzovatovsky_District
Буинск	Buinsk,_Republic_of_Tatarstan
Мурья	Murya,_Russia
Бутурлинский район	Buturlinsky_District
Республика Тыва	Tuva
Скопин	Skopin
Милютинский район	Milyutinsky_District
Светлоград	Svetlograd
Вятские Поляны	Vyatskiye_Polyany
Мурашинский район	Murashinsky_District
Майский	Maysky,_Kabardino-Balkar_Republic
Венёвский район	Venyovsky_District
Среднеколымск	Srednekolymsk
Алейск	Aleysk
Тетюши	Tetyushi,_Republic_of_Tatarstan
Вырица	Vyritsa
Пеновский район	Penovsky_District
Пено	Peno,_Russia
Пермь	Perm
Подгоренский район	Podgorensky_District
Балашов	Balashov_(town)
Бугульма	Bugulma
Тайбола	Taybola
Орджоникидзевский	Ordzhonikidzevsky_(urban-type_settlement)
Кильмезский район	Kilmezsky_District
Мурманск	Murmansk
Нейский район	Neysky_District
Ивантеевский район	Ivanteyevsky_District
Республика Крым	Republic_of_Crimea
Ясногоpск	Yasnogorsk,_Tula_Oblast
Ловозеро	Lovozero_(rural_locality)
Республика Адыгея	Adygea
Макушино	Makushino,_Kurgan_Oblast
Сеченовский район	Sechenovsky_District
Глинковский район	Glinkovsky_District
Воробьёвский район	Vorobyovsky_District
Михайловский район	Mikhaylovsky_District,_Volgograd_Oblast
Чернышевский	Chernyshevsky,_Sakha_Republic
Усть-Ыныкчан	Ust-Ynykchan
Еткульский район	Yetkulsky_District
Урдома	Urdoma,_Lensky_District,_Arkhangelsk_Oblast
Сергино	Sergino,_Khanty-Mansi_Autonomous_Okrug
Сергачский район	Sergachsky_District
Тырныауз	Tyrnyauz
Сенгилей	Sengiley
Мичуринск	Michurinsk
Бяди	Byadi
Хилок	Khilok,_Zabaykalsky_Krai
Яровое	Yarovoye,_Altai_Krai
Кюндяе	Kyundyae
Губаха	Gubakha
Спас-Клепики	Spas-Klepiki
Усть-Удинский район	Ust-Udinsky_District
Алы	Aly
Валдай	Valday,_Novgorod_Oblast
Котельниковский район	Kotelnikovsky_District
Карабаново	Karabanovo,_Vladimir_Oblast
Гайский район	Gaysky_District
Белово	Belovo,_Kemerovo_Oblast
Красногорск	Krasnogorsk,_Moscow_Oblast
Клин	Klin,_Klinsky_District,_Moscow_Oblast
Панковка	Pankovka
Нестеров	Nesterov
Новомосковский район	Novomoskovsky_District
Ревда	Revda,_Sverdlovsk_Oblast
Сырдах	Syrdakh,_Ust-Aldansky_District,_Sakha_Republic
Бавлы	Bavly
Хатырка	Khatyrka
Дзержинский район	Dzerzhinsky_District,_Krasnoyarsk_Krai
Свободненский район	Svobodnensky_District
Еманжелинский район	Yemanzhelinsky_District
Дубки	Dubki,_Republic_of_Dagestan
Кинешемский район	Kineshemsky_District
Хоногор	Khonogor
Орочен 2-й	Orochen_2-y
Сунтарский улус	Suntarsky_District
Чернский район	Chernsky_District
Бысыттах	Bysyttakh
Большереченский район	Bolsherechensky_District
Пиренга	Pirenga
Полазна	Polazna
Мирный	Mirny,_Sakha_Republic
Лебедянь	Lebedyan
Энгельс	Engels,_Saratov_Oblast
Лянтор	Lyantor
Тутаев	Tutayev
Кироваул	Kirovaul
Якутск	Yakutsk
Печорский район	Pechorsky_District
Лев-Толстовский район	Lev-Tolstovsky_District
Билибинский район	Bilibinsky_District
Нял	Nyal
Кирсанов	Kirsanov
Рудня	Rudnya,_Rudnyansky_District,_Smolensk_Oblast
Мизур	Mizur
Мишкинский район	Mishkinsky_District,_Kurgan_Oblast
Сычёвский район	Sychyovsky_District
Пышминский район	Pyshminsky_District
Тербунский район	Terbunsky_District
Анжеро-Судженск	Anzhero-Sudzhensk
Новый Уренгой	Novy_Urengoy
Хатынгнах	Khatyngnakh
Новая Ляля	Novaya_Lyalya
Республика Хакасия	Khakassia
Должанский район	Dolzhansky_District
Боровск	Borovsk
Рубцовск	Rubtsovsk
Нерехтский район	Nerekhtsky_District
Ознобишино	Oznobishino,_Vladimir_Oblast
Егорлыкский район	Yegorlyksky_District
Курагинский район	Kuraginsky_District
Корсаков	Korsakov_(town)
Дроздовка	Drozdovka,_Murmansk_Oblast
Северомуйск	Severomuysk
Ербогачен	Yerbogachen
Оренбург	Orenburg
Хамра	Khamra
Тереньгульский район	Terengulsky_District
Кадомский район	Kadomsky_District
Сузунский район	Suzunsky_District
Кушкопала	Kushkopala
Заволжский район	Zavolzhsky_District,_Ivanovo_Oblast
Иловлинский район	Ilovlinsky_District
Котово	Kotovo,_Volgograd_Oblast
Район Орехово-Борисово Южное	Orekhovo-Borisovo_Yuzhnoye_District
Старицкий район	Staritsky_District
Белгород	Belgorod
Оюсут	Oyusut
Балаганск	Balagansk
Куртамыш	Kurtamysh_(town)
Шарлыкский район	Sharlyksky_District
Дубна	Dubna
Аллаиховский улус	Allaikhovsky_District
Краснозоренский район	Krasnozorensky_District
Чебоксары	Cheboksary
Нагайбакский район	Nagaybaksky_District
Кулотино	Kulotino,_Novgorod_Oblast
Невинномысск	Nevinnomyssk
Матвеевский район	Matveyevsky_District
Инзенский район	Inzensky_District
Джаргалах	Dzhargalakh
Олом-Кюёле	Olom-Kyuyole
Раякоски	Rayakoski
Петуховский район	Petukhovsky_District
Хотынецкий район	Khotynetsky_District
Советский	Sovetsky,_Mari_El_Republic
Бековский район	Bekovsky_District
Бютейдях	Byuteydyakh,_Verkhnevilyuysky_District,_Sakha_Republic
имени Бабушкина	Imeni_Babushkina
Волоконовский район	Volokonovsky_District
Сосновоборский район	Sosnovoborsky_District
Ижморский район	Izhmorsky_District
Вадский район	Vadsky_District
Называевск	Nazyvayevsk
Ойотунг	Oyotung
Кашкаранцы	Kashkarantsy
Зуевка	Zuyevka,_Kirov_Oblast
Великооктябрьский	Velikooktyabrsky
Селенгинск	Selenginsk
Сургут	Surgut
Графский Берег	Grafsky_Bereg
Ливны	Livny
Чита	Chita,_Zabaykalsky_Krai
Заларинский район	Zalarinsky_District
Русско-Полянский район	Russko-Polyansky_District
Саргатское	Sargatskoye
Богучанский район	Boguchansky_District
Кирово-Чепецкий район	Kirovo-Chepetsky_District
Шебекинский район	Shebekinsky_District
Макаров	Makarov,_Russia
Борисоглебский	Borisoglebsky,_Murmansk_Oblast
Лермонтов	Lermontov_(town)
Суровикинский район	Surovikinsky_District
Троснянский район	Trosnyansky_District
Армизонский район	Armizonsky_District
Камышин	Kamyshin
Лебяжье	Lebyazhye,_Lomonosovsky_District,_Leningrad_Oblast
Чан-Ручей	Chan-Ruchey
Сосновый Бор	Sosnovy_Bor,_Sebezhsky_District,_Pskov_Oblast
Булунский улус	Bulunsky_District
Нефтеюганский район	Nefteyugansky_District
Владивосток	Vladivostok
Новозыбковский район	Novozybkovsky_District
Лужский район	Luzhsky_District
Камышловский район	Kamyshlovsky_District
Сальмиярви	Salmiyarvi
Витим	Vitim,_Sakha_Republic
Хайыр	Khayyr
Даниловский район	Danilovsky_District,_Yaroslavl_Oblast
Кюсюр	Kyusyur
Малоархангельск	Maloarkhangelsk,_Oryol_Oblast
Нижний Одес	Nizhny_Odes
Вологда	Vologda
Кедровый	Kedrovy,_Tomsk_Oblast
Беловский район	Belovsky_District,_Kursk_Oblast
Чаинский район	Chainsky_District
Мариинский Посад	Mariinsky_Posad
Тёхтюр	Tyokhtyur,_Khangalassky_District,_Sakha_Republic
Агидель	Agidel
Елецкий	Yeletsky,_Komi_Republic
Вознесенский район	Voznesensky_District
Дивеевский район	Diveyevsky_District
Хатын-Сысы	Khatyn-Sysy
Налимск	Nalimsk
Белорецк	Beloretsk
Ивановская область	Ivanovo_Oblast
Энгя-Сайылыга	Engya-Sayylyga
Волгодонск	Volgodonsk
Нефтекамск	Neftekamsk
Тёпло-Огарёвский район	Tyoplo-Ogaryovsky_District
Ударник	Udarnik,_Sakha_Republic
Одинцовский район	Odintsovsky_District
Мача	Macha,_Russia
Конаковский район	Konakovsky_District
Дегтярск	Degtyarsk
Грязовец	Gryazovets
Максатиха	Maksatikha
Тулун	Tulun
Нижнедевицкий район	Nizhnedevitsky_District
Краснощелье	Krasnoshchelye
Тамбовская область	Tambov_Oblast
Болотнинский район	Bolotninsky_District
Михалкино	Mikhalkino
Ермолово	Yermolovo,_Sakha_Republic
район Измайлово	Izmaylovo_District
