вильферсдорф	Wilfersdorf
айруно	Airuno
анадон	Anadón
бондо,италия	Bondo,_Trentino
асакура	Asakura,_Fukuoka
басти	Basti,_Uttar_Pradesh
арпино	Arpino
брно	Brno
апасео-эль-альто	Apaseo_el_Alto
вайтенсфельд-им-гуркталь	Weitensfeld_im_Gurktal
вольтаго-агордино	Voltago_Agordino
аламида,город	Alameda,_California
бербенно-ди-вальтеллина	Berbenno_di_Valtellina
бейнбридж	Bainbridge,_Georgia
аннистон	Anniston,_Alabama
барфлёр	Barfleur
вильянуэва-де-сан-хуан	Villanueva_de_San_Juan
баабон-де-эсгева	Bahabón_de_Esgueva
бруклин-сентер	Brooklyn_Center,_Minnesota
бургдорф,берн	Burgdorf,_Switzerland
вилаплана	Vilaplana
верона	Verona
богушовице-над-огржи	Bohušovice_nad_Ohří
алькала-де-гурреа	Alcalá_de_Gurrea
валланценго	Vallanzengo
багаха	Bagaha
арна	Arnad
вилланова-мондови	Villanova_Mondovì
аспиндза	Aspindza
виадана	Viadana,_Lombardy
армази,город	Armazi
аппиньяно-дель-тронто	Appignano_del_Tronto
бентивольо	Bentivoglio,_Emilia-Romagna
вильямбистия	Villambistia
атнанг-пуххайм	Attnang-Puchheim
буя	Buja
велес-де-бенаудалья	Vélez_de_Benaudalla
барге	Barghe
блайт	Blythe,_California
брукингз	Brookings,_South_Dakota
аурангабад,махараштра	Aurangabad,_Maharashtra
вернаска	Vernasca
барыш,город	Barysh
банана	Banana,_Democratic_Republic_of_the_Congo
боргорикко	Borgoricco
вильодре	Villodre
ботсфьорд	Båtsfjord
бадези	Badesi
акуара	Aquara
браке,нижний везер	Brake,_Lower_Saxony
асналькольяр	Aznalcóllar
альта-виста,оттава	Alta_Vista,_Ottawa
виндигштайг	Windigsteig
вальстрона	Valstrona
валенштадт	Walenstadt
богданци	Bogdanci
альберта,миннесота	Alberta,_Minnesota
брюгге	Bruges
аксу	Aksu,_Kazakhstan
варзане	Varzaneh
баттифолло	Battifollo
асила	Asilah
алаканук,аляска	Alakanuk,_Alaska
авиз	Avise
валле-ломелина	Valle_Lomellina
верхотурье	Verkhoturye
коммуна амаро	Amaro,_Friuli
англтон	Angleton,_Texas
брандис-над-орлици	Brandýs_nad_Orlicí
валье-де-серрато	Valle_de_Cerrato
валашске-клобоуки	Valašské_Klobouky
варка	Warka
аркоре	Arcore
балокко	Balocco
аларба	Alarba
алькориса	Alcorisa
арезе	Arese
вильяорнате-и-кастро	Villaornate_y_Castro
вальмала,италия	Valmala,_Italy
аррая-де-ока	Arraya_de_Oca
вальдесамарио	Valdesamario
аревалильо	Arevalillo
баттамбанг	Battambang
алегзандрия	Alexandria,_Minnesota
баффало-лейк,миннесота	Buffalo_Lake,_Minnesota
бендер-махшехр	Bandar-e_Mahshahr
белтрами,миннесота	Beltrami,_Minnesota
больбено	Bolbeno
вальверде-де-мерида	Valverde_de_Mérida
анцола-д’оссола	Anzola_d'Ossola
аоста	Aosta
буско-здруй	Busko-Zdrój
агано	Agano,_Niigata
вилламар	Villamar
банджар,город	Banjar,_West_Java
боно,сардиния	Bono,_Italy
альтамура	Altamura
блафтон,миннесота	Bluffton,_Minnesota
вильямедьянилья	Villamedianilla
базарган	Bazargan,_Iran
вильяминая	Villaminaya
барранкабермеха	Barrancabermeja
бустильо-де-ла-вега	Bustillo_de_la_Vega
войенс	Vojens
вильярьесо	Villariezo
айронтон,миннесота	Ironton,_Minnesota
алтеймер,арканзас	Altheimer,_Arkansas
восточный иерусалим	East_Jerusalem
бормухос	Bormujos
баоне	Baone
бхатпара	Bhatpara
борисоглебск	Borisoglebsk
арандига	Arándiga
баррачина	Barrachina
альмединилья	Almedinilla
виллануова-суль-клизи	Villanuova_sul_Clisi
брянск	Bryansk
боно	Bono,_Italy
вигоново	Vigonovo
бехарестан	Baharestan,_Isfahan
айкурцио	Aicurzio
абеокута	Abeokuta
белоярский,город	Beloyarsky,_Khanty-Mansi_Autonomous_Okrug
альбертвилл,миннесота	Albertville,_Minnesota
бурханпур	Burhanpur
вомбжезьно	Wąbrzeźno
волхов,город	Volkhov
верретто	Verretto
берг,австрия	Berg,_Lower_Austria
алькофен	Alkoven
бубьерка	Bubierca
бакстер	Baxter,_Minnesota
анцио	Anzio
бовеньо	Bovegno
власиха	Vlasikha,_Moscow_Oblast
буэнос-айрес	Buenos_Aires
альбания	Albania,_La_Guajira
брольяно	Brogliano
брукингз,дакота	Brookings,_South_Dakota
берцо-демо	Berzo_Demo
бичиникко	Bicinicco
аматриче	Amatrice
альтмюнстер	Altmünster
адлисвиль	Adliswil
бланкас	Blancas
барсана	Barsana
альберт-ли,миннесота	Albert_Lea,_Minnesota
вайксельбаум	Weichselbaum
видеркер-вилидж	Wiederkehr_Village,_Arkansas
борокс	Borox
алькала-де-ла-сельва	Alcalá_de_la_Selva
аргуэлло	Arguello
вентимилья	Ventimiglia
боббио	Bobbio
вьетри-ди-потенца	Vietri_di_Potenza
алар-дель-рей	Alar_del_Rey
агно	Haguenau
вальехо	Vallejo,_California
брентонико	Brentonico
бельведере-ланге	Belvedere_Langhe
биджу,город	Bejou,_Minnesota
бакман	Buckman,_Minnesota
бровары	Brovary
батангас	Batangas_City
анива,город	Aniva
бухара	Bukhara
вилланова-ди-кампосампьеро	Villanova_di_Camposampiero
буджано	Buggiano
вилла-чельера	Villa_Celiera
борго-приоло	Borgo_Priolo
врбове	Vrbové
вальдеольмильос	Valdeolmillos
боффалора-д’адда	Boffalora_d'Adda
броды	Brody
валь-де-сан-мартин	Val_de_San_Martín
баизо	Baiso
баттипалья	Battipaglia
брок,город	Brok
бусто-де-буреба	Busto_de_Bureba
боргетто-ди-вара	Borghetto_di_Vara
бхаванипатна	Bhawanipatna
альбиссола-марина	Albissola_Marina
ботошани	Botoșani
бискарруэс	Biscarrués
бенатаэ	Benatae
аскона	Ascona
вернберг,каринтия	Wernberg
бородино	Borodino,_Krasnoyarsk_Krai
бьютт,монтана	Butte,_Montana
бруино	Bruino
баббитт,город	Babbitt,_Minnesota
бадринатх	Badrinath
акри,город	Acri
агилон	Aguilón
бояново	Bojanowo
барки	Barchi,_Marche
арбон	Arbon
багдад	Baghdad
бина,миннесота	Bena,_Minnesota
бердичев	Berdychiv
альбисола-супериоре	Albisola_Superiore
ашленд	Ashland,_Ohio
бишо	Bhisho
акаба	Aqaba
барки,италия	Barchi,_Marche
альдеануэва-дель-камино	Aldeanueva_del_Camino
алькосеро-де-мола	Alcocero_de_Mola
вальдекаса	Valdecasa
брукс,город	Brooks,_Minnesota
аннаполис,мэриленд	Annapolis,_Maryland
бяла-равска	Biała_Rawska
аспанг-маркт	Aspang-Markt
брянка	Brianka
брентино-беллуно	Brentino_Belluno
бобрка	Bibrka
асколи-пичено	Ascoli_Piceno
борзя	Borzya
веджано	Veggiano
антверпен	Antwerp
виллафранка-д’асти	Villafranca_d'Asti
викторсберг	Viktorsberg
бриуэга	Brihuega
берцано-ди-тортона	Berzano_di_Tortona
виккьо	Vicchio
ахмеднагар	Ahmednagar
богданович	Bogdanovich_(town)
вельки-медер	Veľký_Meder
вулф-лейк	Wolf_Lake,_Minnesota
вальмонтоне	Valmontone
бреццо-ди-бедеро	Brezzo_di_Bedero
боубеллс	Bowbells,_North_Dakota
асануй-алинс	Azanuy-Alins
бенгела,город	Benguela
аннандейл,город	Annandale,_Minnesota
верджате	Vergiate
амбанья	Ambanja
аньяделло	Agnadello
брёй-червиния	Breuil-Cervinia
барчево	Barczewo
бормио	Bormio
вышгород,украина	Vyshhorod
вильяэлес-де-вальдавия	Villaeles_de_Valdavia
варцо	Varzo
аварис	Avaris
альтленгбах	Altlengbach
аннаберг,нижняя австрия	Annaberg,_Lower_Austria
балтийск	Baltiysk
баудх	Boudh
беллуско	Bellusco
аверара	Averara
биштынек	Bisztynek
бозио	Bosio
вальдесате	Valdezate
баллабио	Ballabio
вилламайна	Villamaina
альфакар	Alfacar
андау	Andau
виллизау	Willisau
акаси,город	Akashi,_Hyōgo
ачэн	Acheng_District
барлассина	Barlassina
брезимо	Bresimo
асина	Asine
анголь	Angol
агрономика	Agronômica,_Santa_Catarina
агсбах	Aggsbach
африко	Africo
вимеркате	Vimercate
аньозине	Agnosine
ако	Akō,_Hyōgo
бузано	Busano
беллона	Bellona,_Campania
владимир	Vladimir
буччано	Bucciano
батл-лейк	Battle_Lake,_Minnesota
адак,аляска	Adak,_Alaska
априкале	Apricale
андреаполь	Andreapol
ванцагелло	Vanzaghello
адамс,город	Adams,_Minnesota
баньяра-калабра	Bagnara_Calabra
башано	Basciano
бионе	Bione
вильявисьоса-де-кордова	Villaviciosa_de_Córdoba
акутан	Akutan,_Alaska
аракажу	Aracaju
адамов,район бланско	Adamov_(Blansko_District)
беура-кардецца	Beura-Cardezza
андовер	Andover,_Minnesota
вильярес-де-орбиго	Villares_de_Órbigo
вильямалур	Villamalur
бруклин-сентер,город	Brooklyn_Center,_Minnesota
вильовьеко	Villovieco
бельведере-остренсе	Belvedere_Ostrense
бастроп,техас	Bastrop,_Texas
альдеакемада	Aldeaquemada
вьяле	Viale
восход,область	Voskhod,_Moscow_Oblast
адро	Adro
община бюрен	Buren
андижан	Andijan
боведа	Bóveda
андрус,техас	Andrews,_Texas
баколод	Bacolod
вардё	Vardø
ашеа	Ascea
бривьеска	Briviesca
баффало-лейк,город	Buffalo_Lake,_Minnesota
вилланова-д’арденги	Villanova_d'Ardenghi
бая-э-латина	Baia_e_Latina
ардзене	Arzene
виньоле-борбера	Vignole_Borbera
беверли-хиллз	Beverly_Hills,_California
вупперталь	Wuppertal
абисанда	Abizanda
виченца	Vicenza
асаго	Asago,_Hyōgo
агуэро	Agüero,_Huesca
абанто	Abanto
альбаджара	Albagiara
боулус,город	Bowlus,_Minnesota
альмонасид-де-ла-сьерра	Almonacid_de_la_Sierra
беналуа	Benalúa
висбаден	Wiesbaden
вильянуэва-де-ла-рейна	Villanueva_de_la_Reina
бодьо-ломнаго	Bodio_Lomnago
белл-плейн,город	Belle_Plaine,_Minnesota
апеккьо	Apecchio
брэила	Brăila
андрус	Andrews,_Texas
альтилия	Altilia
артур,айова	Arthur,_Iowa
анауак,техас	Anahuac,_Texas
адо-экити	Ado_Ekiti
боченаго	Bocenago
ангерн-ан-дер-марх	Angern_an_der_March
валлерн,бургенланд	Wallern_im_Burgenland
вольфпассинг	Wolfpassing
вальброна	Valbrona
амелия,город	Amelia,_Umbria
вальдастильяс	Valdastillas
алмада	Almada
будённовск	Budyonnovsk
бускате	Buscate
бабольсер	Babolsar
бломкест,город	Blomkest,_Minnesota
брённёйсунн	Brønnøysund
белая церковь	Bila_Tserkva
бопре	Beaupré,_Quebec
бекер,город	Becker,_Minnesota
бингхем-лейк,миннесота	Bingham_Lake,_Minnesota
брайтенбрунн-ам-нойзидлер-зе	Breitenbrunn,_Austria
блэкдак,миннесота	Blackduck,_Minnesota
батман,город	Batman,_Turkey
аира	Aira,_Kagoshima_(Aira)
буэнья	Bueña
вермильо	Vermiglio
бинефар	Binéfar
вильоруэбо	Villoruebo
азола	Asola,_Lombardy
банда-ачех	Banda_Aceh
бхилаи	Bhilai
весп	Weesp
влощова	Włoszczowa
альбания,гуахира	Albania,_La_Guajira
аргайл,миннесота	Argyle,_Minnesota
анива	Aniva
вилла-верде	Villa_Verde
бакстер,миннесота	Baxter,_Minnesota
вышогруд	Wyszogród
биржай	Biržai
валлефьорита	Vallefiorita
анурадхапура	Anuradhapura
алаканук	Alakanuk,_Alaska
белл-плейн,миннесота	Belle_Plaine,_Minnesota
агдам	Agdam
валье-де-ока	Valle_de_Oca
валлекрозия	Vallecrosia
вильябрас	Villabraz
браньск	Brańsk
арциньяно	Arzignano
арамиль	Aramil
боннерс-ферри	Bonners_Ferry,_Idaho
атценбруг	Atzenbrugg
вуд-лейк,город	Wood_Lake,_Minnesota
бозия	Bosia,_Piedmont
винчи,город	Vinci,_Tuscany
верджиния-бич	Virginia_Beach,_Virginia
аппингедам	Appingedam
аморгос	Amorgos
брайтенау	Breitenau,_Lower_Austria
берегово	Berehove
альбуньяно	Albugnano
борегард,приход луизиана	Beauregard_Parish,_Louisiana
брест,франция	Brest,_France
вецселпилс	Sēlpils
вустер	Worcester,_Massachusetts
альколеа-де-синка	Alcolea_de_Cinca
брукк-ан-дер-мур	Bruck_an_der_Mur
вильяррубия-де-сантьяго	Villarrubia_de_Santiago
аулетта	Auletta
влень	Wleń
виджу	Viggiù
амритсар	Amritsar
бриенца	Brienza
аркола,италия	Arcola,_Liguria
бисимбре	Bisimbre
бьянцано	Bianzano
акбарпур,амбедкарнагар	Akbarpur,_Ambedkar_Nagar
ахау	Achau
адана	Adana
беналла	Benalla
бальцола	Balzola
барбания	Barbania
ак-довурак	Ak-Dovurak
анжеро-судженск	Anzhero-Sudzhensk
вазия	Vasia
бергланд	Bergland,_Austria
астория	Astoria,_Oregon
бурджо	Burgio
ботруньо	Botrugno
баодин	Baoding
барроман	Barromán
бакман,миннесота	Buckman,_Minnesota
баричелла	Baricella
вязьма	Vyazma
бургильос-де-толедо	Burguillos_de_Toledo
бяла-подляска	Biała_Podlaska
бхудж	Bhuj
бондено	Bondeno
валле-кастеллана	Valle_Castellana
атина	Atina,_Lazio
бафт	Baft
врабле	Vráble
вильярментеро-де-кампос	Villarmentero_de_Campos
бальвано	Balvano
бердск	Berdsk
абенхибре	Abengibre
веролавеккья	Verolavecchia
виголо-ваттаро	Vigolo_Vattaro
астория,орегон	Astoria,_Oregon
айгостена	Aigosthena
баборув	Baborów
баронисси	Baronissi
алтус	Altus,_Arkansas
бад-зауэрбрунн	Bad_Sauerbrunn
берсоса-де-буреба	Berzosa_de_Bureba
вильяленгуа	Villalengua
брайтон	Brighton,_Colorado
коммуна вельо	Veglio
биоград-на-мору	Biograd_na_Moru
вадовице	Wadowice
васлуй	Vaslui
вилючинск	Vilyuchinsk
вильянуньо-де-вальдавия	Villanuño_de_Valdavia
брончалес	Bronchales
батлер	Butler,_Missouri
бюрмос	Bürmoos
вильявьюдас	Villaviudas
ангикс	Anguix
бейнбридж,джорджия	Bainbridge,_Georgia
вайдхофен-ан-дер-тайя	Waidhofen_an_der_Thaya
армения,антьокия	Armenia,_Antioquia
бельви	Belvì
вареш	Vareš
альварес	Álvarez,_Tamaulipas
арнем	Arnhem
бишофсцелль	Bischofszell
виллорба	Villorba
арона	Arona,_Piedmont
бакэу	Bacău
вайнона,миссисипи	Winona,_Mississippi
ари	Ari,_Abruzzo
боруп,город	Borup,_Minnesota
астана	Astana
буттапьетра	Buttapietra
альдеуэла-де-херте	Aldehuela_de_Jerte
бальме	Balme
бакерин-де-кампос	Baquerín_de_Campos
ачинск	Achinsk
будзен	Buzen,_Fukuoka
вармо	Varmo
бетел-хайтс,арканзас	Bethel_Heights,_Arkansas
вуд-лейк	Wood_Lake,_Minnesota
амурск	Amursk
аренс-де-льедо	Arens_de_Lledó
аликанте	Alicante
браччано	Bracciano
ассен	Assen
бейрут	Beirut
беллария-иджеа-марина	Bellaria_–_Igea_Marina
альбеттоне	Albettone
боссоласко	Bossolasco
арена	Arena,_Calabria
варалло-помбия	Varallo_Pombia
вентикано	Venticano
визианагарам	Vizianagaram
валандово	Valandovo
бромберг	Bromberg,_Lower_Austria
буларрос	Bularros
вуллерсдорф	Wullersdorf
андрушёвка	Andrushivka
альбертвилл	Albertville,_Minnesota
вайсенбах-ан-дер-тристинг	Weissenbach_an_der_Triesting
алендин	Alhendín
барцаго	Barzago
бхавнагар	Bhavnagar
бентон,арканзас	Benton,_Arkansas
вилабоа	Vilaboa
бойнице	Bojnice
алкобаса,город	Alcobaça,_Portugal
вильянуэва-де-ла-вера	Villanueva_de_la_Vera
бонн	Bonn
винчи	Vinci,_Tuscany
булл-шолс	Bull_Shoals,_Arkansas
асналькасар	Aznalcázar
вашковцы,вижницкий район	Vashkivtsi
анцано-ди-пулья	Anzano_di_Puglia
ареццо	Arezzo
виррат	Virrat
агрыз	Agryz
ампеццо	Ampezzo
аволаска	Avolasca
афула	Afula
бьелла	Biella
бельвилл,арканзас	Belleville,_Arkansas
брекенридж	Breckenridge,_Minnesota
бойд,миннесота	Boyd,_Minnesota
буккьянико	Bucchianico
ардоре	Ardore
вильямедьяна	Villamediana
ботроп	Bottrop
асия	Ashiya,_Hyōgo
вудберн,орегон	Woodburn,_Oregon
вальдина	Valdina
алессано	Alessano
алван	Alvan,_Iran
балад,ирак	Balad,_Iraq
алитус	Alytus
буэна-парк,калифорния	Buena_Park,_California
бойссано	Boissano
бургдорф	Burgdorf,_Switzerland
село башка	Baška_(Frýdek-Místek_District)
баджер,миннесота	Badger,_Minnesota
аркадак	Arkadak
анини	Anini
велюнь,польша	Wieluń
алькаудете	Alcaudete
батл-лейк,город	Battle_Lake,_Minnesota
валлеротонда	Vallerotonda
бертрум	Burtrum,_Minnesota
агарак	Agarak,_Syunik
вайкинг,миннесота	Viking,_Minnesota
виццоло-предабисси	Vizzolo_Predabissi
аниф	Anif
военный городок	Military_town
аузония	Ausonia,_Lazio
бина	Bena,_Minnesota
бунвилл,арканзас	Booneville,_Arkansas
вжесня	Września
асин	Asín,_Aragon
велень	Wieleń
айванхо,миннесота	Ivanhoe,_Minnesota
апиро	Apiro
бидзен	Bizen,_Okayama
бавено	Baveno
боара-пизани	Boara_Pisani
бейкерсфилд,калифорния	Bakersfield,_California
вулвертон,миннесота	Wolverton,_Minnesota
ариано-нель-полезине	Ariano_nel_Polesine
ваккариццо-альбанезе	Vaccarizzo_Albanese
вайсвассер,лужица	Weißwasser
вольфсбах	Wolfsbach
бенсон	Benson,_Minnesota
вецца-д’альба	Vezza_d'Alba
вильямьель	Villamiel
браунсдейл,миннесота	Brownsdale,_Minnesota
аиои	Aioi,_Hyōgo
бардеёв	Bardejov
баллибофи	Ballybofey
амами,город	Amami,_Kagoshima
альбалате-де-синка	Albalate_de_Cinca
айсгарн	Eisgarn
вале	Vale,_Georgia
басти,уттар-прадеш	Basti,_Uttar_Pradesh
виллаурбана	Villaurbana
вильясила-де-вальдавия	Villasila_de_Valdavia
вильяэрмоса	Villahermosa
асков	Askov,_Minnesota
берн	Bern
анамур	Anamur
боргоратто-мормороло	Borgoratto_Mormorolo
брук-парк	Brook_Park,_Minnesota
алагир	Alagir
брекенридж,город	Breckenridge,_Minnesota
бирюч,город	Biryuch
вилласпекьоза	Villaspeciosa
бернсвилл,город	Burnsville,_Minnesota
бехис	Bejís
бенито-хуарес,кинтана-роо	Benito_Juárez_Municipality,_Quintana_Roo
аррах	Arrah
авилес	Avilés
баннио-анцино	Bannio_Anzino
басконес-де-охеда	Báscones_de_Ojeda
бигфорк,миннесота	Bigfork,_Minnesota
альпетте	Alpette
альтендорф	Altendorf,_Austria
вико-нель-лацио	Vico_nel_Lazio
бестек	Bastak
аньян	Anyang
бахадургарх	Bahadurgarh
белчестер	Bellechester,_Minnesota
валье-де-санта-ана	Valle_de_Santa_Ana
валлелонга	Vallelonga
бароне-канавезе	Barone_Canavese
вильясека-де-ла-сагра	Villaseca_de_la_Sagra
аугуста,сицилия	Augusta,_Sicily
ардеа	Ardea,_Lazio
байбурт	Bayburt
виола	Viola,_Piedmont
вильягарсия-де-ла-торре	Villagarcía_de_la_Torre
арджента	Argenta,_Emilia–Romagna
вильяманрике-де-ла-кондеса	Villamanrique_de_la_Condesa
вадо-лигуре	Vado_Ligure
барстоу,калифорния	Barstow,_California
валледория	Valledoria
вильяр-де-олалья	Villar_de_Olalla
акисима	Akishima,_Tokyo
бранч,арканзас	Branch,_Arkansas
алверка-ду-рибатежу	Alverca_do_Ribatejo
вулькапродерсдорф	Wulkaprodersdorf
вайкерсдорф-ам-штайнфельде	Weikersdorf_am_Steinfelde
альбано-лациале	Albano_Laziale
акри	Acri
весполате	Vespolate
вроцлав	Wrocław
альберобелло	Alberobello
беттола	Bettola
бахрайч	Bahraich
аллисте	Alliste
виньянелло	Vignanello
бродзоло	Brozolo
алеппо	Aleppo
веве	Vevey
весковато,италия	Vescovato,_Lombardy
ауриго	Aurigo
агуас-морнас	Águas_Mornas
боойо	Bohoyo
барле-хертог	Baarle-Hertog
бонеа	Bonea
броуэрвилл,город	Browerville,_Minnesota
бырлад	Bârlad
буроло	Burolo
брукс	Brooks,_Minnesota
бриенно	Brienno
вулвертон	Wolverton,_Minnesota
амстелвен	Amstelveen
амато	Amato
айронтон	Ironton,_Minnesota
аксу,город	Aksu,_Kazakhstan
альтопашо	Altopascio
аньон-де-монкайо	Añón_de_Moncayo
брандон,город	Brandon,_Minnesota
вердуно	Verduno
альба	Alba,_Piedmont
алдан,город	Aldan,_Russia
альбенга	Albenga
альбала	Albalá
абдулино	Abdulino
биль	Biel/Bienne
беркидда	Berchidda
вилла-дель-конте	Villa_del_Conte
бреббья	Brebbia
ватикан	Vatican_City
волноваха	Volnovakha
апелдорн	Apeldoorn
ваттенберг	Wattenberg,_Tyrol
вибо-валентия	Vibo_Valentia
арпаизе	Arpaise
аштиан	Ashtian
волхов	Volkhov
баранелло	Baranello
бэнбу	Bengbu
боско-маренго	Bosco_Marengo
бадолато	Badolato
асбест,город	Asbest
верхний тагил	Verkhny_Tagil
вайрано-патенора	Vairano_Patenora
беллфлауэр,калифорния	Bellflower,_California
белу-оризонти	Belo_Horizonte
бронницы	Bronnitsy
бискупец	Biskupiec
волжск	Volzhsk
броуэрвилл,миннесота	Browerville,_Minnesota
брегенц	Bregenz
альбинея	Albinea
айнсон	Ainzón
абарка-де-кампос	Abarca_de_Campos
вильярроя-де-ла-сьерра	Villarroya_de_la_Sierra
барцио	Barzio
коммуна боволента	Bovolenta
бревик	Brevik
бордзонаска	Borzonasca
витулацио	Vitulazio
видеркер-вилидж,арканзас	Wiederkehr_Village,_Arkansas
болонья	Bologna
арзон	Arzon
айос-николаос,крит	Agios_Nikolaos,_Crete
виган	Vigan
бальдрамсдорф	Baldramsdorf
