буэнос-айрес,аргентина	Buenos_Aires
вильянуэва-де-гомес,испания	Villanueva_de_Gómez
боровани,чехия	Borovany_(České_Budějovice_District)
вальярта-де-буреба,испания	Vallarta_de_Bureba
аветрана,италия	Avetrana
артур,айова,соединённые штаты америки,сша,америка	Arthur,_Iowa
вильякаррильо,испания	Villacarrillo
безоццо,италия	Besozzo
вальмохадо,	Valmojado
бездружице,чехия	Bezdružice
арауко,чили,чили	Arauco,_Chile
боскотреказе,италия	Boscotrecase
аккуаформоза,италия	Acquaformosa
баколи,италия	Bacoli
агуарон,испания	Aguarón
варри,нигерия	Warri
аккуарика-дель-капо,италия	Acquarica_del_Capo
вильянуэва-де-лас-торрес,испания	Villanueva_de_las_Torres
абаде-ташк,иран	Abadeh_Tashk
бенамаурель,испания	Benamaurel
вильяфранка-дель-кампо,испания	Villafranca_del_Campo
боадилья-дель-камино,испания	Boadilla_del_Camino
аноя,италия	Anoia,_Calabria
бикин,город,россия,хабаровский край	Bikin
вальстрона,италия	Valstrona
альмодовар-дель-пинар,	Almodóvar_del_Pinar
алиха-дель-инфантадо,испания	Alija_del_Infantado
вобарно,италия	Vobarno
виколи,италия	Vicoli
вилямовице,польша	Wilamowice
бандар-лампунг,индонезия	Bandar_Lampung
вильятурде,испания	Villaturde
альтавилла-вичентина,италия	Altavilla_Vicentina
баньоли-дель-триньо,италия	Bagnoli_del_Trigno
арриах,австрия	Arriach
вильяблино,испания	Villablino
бужумбура,бурунди	Bujumbura
визен,бургенланд,австрия	Wiesen,_Austria
вильямайор-де-тревиньо,испания	Villamayor_de_Treviño
бернсвилл,город,миннесота,соединённые штаты америки,сша,америка	Burnsville,_Minnesota
алатри,италия	Alatri
баньореджо,италия	Bagnoregio
ботоу,	Botou
альбезе-кон-кассано,италия	Albese_con_Cassano
барберино-валь-д’эльса,италия	Barberino_Val_d'Elsa
бендер-ленге,иран	Bandar_Lengeh
бовино,италия	Bovino
барамула,индия	Baramulla
владимир-волынский,украина	Volodymyr-Volynskyi
альвиано,италия	Alviano
валлетта,мальта	Valletta
барцин,польша	Barcin
бестек,иран	Bastak
арендал,	Arendal
боада-де-кампос,испания	Boada_de_Campos
баньон,испания	Bañón
амбувумбе,мадагаскар	Ambovombe-Androy
вилла-сантина,италия	Villa_Santina
виковаро,италия	Vicovaro
бастида-де-досси,италия	Bastida_de'_Dossi
аббатеджо,	Abbateggio
анан,токусима,	Anan,_Tokushima
виллаурбана,италия	Villaurbana
баньос-де-ла-энсина,испания	Baños_de_la_Encina
амадора,	Amadora
баргарх,индия	Bargarh
адыяман,турция	Adıyaman
аверса,италия	Aversa
бхудж,индия	Bhuj
багешвар,индия	Bageshwar
аппиньяно-дель-тронто,италия	Appignano_del_Tronto
амелия,город,италия	Amelia,_Umbria
бербенно-ди-вальтеллина,италия	Berbenno_di_Valtellina
алхамбра,калифорния,соединённые штаты америки,сша,америка	Alhambra,_California
альверня,польша	Alwernia
бланско,чехия	Blansko
бандера,техас,соединённые штаты америки,сша,америка	Bandera,_Texas
бертонико,италия	Bertonico
бакар,хорватия	Bakar
ворожба,город,	Vorozhba
вольвера,италия	Volvera
борго-д’але,италия	Borgo_d'Ale
вольтаго-агордино,италия	Voltago_Agordino
альбайрате,италия	Albairate
альбаретто-делла-торре,италия	Albaretto_della_Torre
верхняя салда,	Verkhnyaya_Salda
авка,нигерия	Awka
бидерманнсдорф,австрия	Biedermannsdorf
авилес,испания	Avilés
болотное,россия,новосибирская область	Bolotnoye
бардолино,италия	Bardolino
бхивани,индия	Bhiwani
алитус,литва	Alytus
астана,казахстан	Astana
бриндизи-монтанья,италия	Brindisi_Montagna
вельс,австрия	Wels
вилково,украина	Vylkove
бекингем,техас,	Buckingham,_Richardson,_Texas
бад-дойч-альтенбург,австрия	Bad_Deutsch-Altenburg
вильяфранка-де-ла-сьерра,испания	Villafranca_de_la_Sierra
бричаны,молдавия	Briceni
вилларикка,италия	Villaricca
альмуния-де-сан-хуан,испания	Almunia_de_San_Juan
белтрами,город,миннесота,соединённые штаты америки,сша,америка	Beltrami,_Minnesota
брашов,румыния	Brașov
брёй-червиния,	Breuil-Cervinia
бальдиссеро-торинезе,италия	Baldissero_Torinese
вильгельмсхафен,германия	Wilhelmshaven
вимеркате,италия	Vimercate
буэу,	Bueu
белфаст,северная ирландия	Belfast
альбозаджа,италия	Albosaggia
армено,италия	Armeno
бендзин,польша	Będzin
абия-де-лас-торрес,испания	Abia_de_las_Torres
батерст,город,австралия,австралия	Bathurst,_New_South_Wales
вилланова-маркезана,италия	Villanova_Marchesana
альбаджара,италия	Albagiara
вайсенбах-ан-дер-тристинг,австрия	Weissenbach_an_der_Triesting
башано,италия	Basciano
виллароманьяно,италия	Villaromagnano
вильяобиспо-де-отеро,испания	Villaobispo_de_Otero
вилланова-монферрато,италия	Villanova_Monferrato
антиколи-коррадо,италия	Anticoli_Corrado
варнсдорф,чехия	Varnsdorf
вильямбистия,испания	Villambistia
аргис,испания	Arguis
ваксхольм,швеция	Vaxholm
алькориса,испания	Alcorisa
бенатки-над-йизероу,чехия	Benátky_nad_Jizerou
волув,польша	Wołów
багалади,италия	Bagaladi
амстелвен,нидерланды	Amstelveen
агуас-кандидас,испания	Aguas_Cándidas
аргостолион,греция	Argostoli
баррали,италия	Barrali
аттильяно,италия	Attigliano
воткинск,россия,удмуртия	Votkinsk
анцано-ди-пулья,италия	Anzano_di_Puglia
вевак,папуа — новая гвинея	Wewak
вильябаста-де-вальдавия,испания	Villabasta_de_Valdavia
айзенхюттенштадт,германия	Eisenhüttenstadt
абданан,иран	Abdanan
анян,республика корея,корея,южная корея	Anyang,_Gyeonggi
бургауберг-нойдауберг,австрия	Burgauberg-Neudauberg
белгрейд,соединённые штаты америки,сша,америка	Belgrade,_Montana
бивер-крик,город,миннесота,соединённые штаты америки,сша,америка	Beaver_Creek,_Minnesota
аки,город,	Aki,_Kōchi
вогьера,италия	Voghiera
басконсильос-дель-тосо,испания	Basconcillos_del_Tozo
винница,украина	Vinnytsia
борзна,украина	Borzna
брусы,польша	Brusy
ацуги,япония	Atsugi,_Kanagawa
брикеразио,италия	Bricherasio
вальтопина,италия	Valtopina
бриндизи,италия	Brindisi
аличе-бель-колле,италия	Alice_Bel_Colle
бхавнагар,индия	Bhavnagar
амаюэлас-де-арриба,испания	Amayuelas_de_Arriba
балашиха,россия,московская область	Balashikha
валле-салимбене,италия	Valle_Salimbene
винасейте,испания	Vinaceite
бакленд,аляска,	Buckland,_Alaska
арцано,италия	Arzano
антильон,испания	Antillón
буджерру,италия	Buggerru
асеред,испания	Acered
буэна-парк,калифорния,соединённые штаты америки,сша,америка	Buena_Park,_California
вюрмла,австрия	Würmla
боулус,город,миннесота,соединённые штаты америки,сша,америка	Bowlus,_Minnesota
авеццано,италия	Avezzano
аладжа-хююк,	Alaca_Höyük
вилларбассе,италия	Villarbasse
бардеёв,словакия	Bardejov
браунсдейл,город,миннесота,соединённые штаты америки,сша,америка	Brownsdale,_Minnesota
ванцагелло,италия	Vanzaghello
борутта,италия	Borutta
асо,город,	Aso,_Kumamoto
вильяконансио,испания	Villaconancio
бергиш-гладбах,германия	Bergisch_Gladbach
валье-де-мансанедо,испания	Valle_de_Manzanedo
альмодовар-дель-рио,испания	Almodóvar_del_Río
брачильяно,италия	Bracigliano
вальбуэна-де-писуэрга,испания	Valbuena_de_Pisuerga
вальданьо,италия	Valdagno
бьяндзе,италия	Bianzè
болонья,италия	Bologna
войцешув,польша	Wojcieszów
бордон,испания	Bordón
виллановафранка,италия	Villanovafranca
абдан,иран	Abdan
бессарабка,молдавия	Basarabeasca
бриуэга,испания	Brihuega
армения,антьокия,колумбия	Armenia,_Antioquia
вальстанья,италия	Valstagna
арджелато,италия	Argelato
бенгела,город,ангола	Benguela
барлинг,арканзас,соединённые штаты америки,сша,америка	Barling,_Arkansas
альпухарра-де-ла-сьерра,испания	Alpujarra_de_la_Sierra
безано,италия	Besano
барбадильо-дель-пес,испания	Barbadillo_del_Pez
вольфсберг,каринтия,австрия	Wolfsberg,_Carinthia
биоград-на-мору,хорватия	Biograd_na_Moru
вальделугерос,	Valdelugueros
вальтурнанш,италия	Valtournenche
алипур,индия	Alipore
аниф,австрия	Anif
вижница,украина	Vyzhnytsia
альфос-де-кинтанадуэньяс,испания	Alfoz_de_Quintanadueñas
арао,	Arao,_Kumamoto
альцано-ломбардо,италия	Alzano_Lombardo
арсуф,	Arsuf
атека,испания	Ateca
бату,город,индонезия	Batu_(city)
боргетто-ди-борбера,италия	Borghetto_di_Borbera
ачерно,италия	Acerno
бехбехан,иран	Behbahan
буссолено,италия	Bussoleno
амеюго,испания	Ameyugo
ава,город,япония,	Awa,_Tokushima
баже,бразилия	Bagé
абетоне,италия	Abetone
вальдекабальерос,испания	Valdecaballeros
вентотене,город,италия	Ventotene
атеа,сарагоса,испания	Atea,_Zaragoza
бруино,италия	Bruino
арнем,нидерланды	Arnhem
барроу,аляска,	Barrow,_Alaska
вилла-лагарина,италия	Villa_Lagarina
вашингтон-на-бразосе,	Washington-on-the-Brazos,_Texas
ачэн,	Acheng_District
барджора,индия	Barjora
боно,сардиния,италия	Bono,_Italy
вийтасаари,	Viitasaari
арезе,италия	Arese
брайтенфурт-бай-вин,австрия	Breitenfurt_bei_Wien
батам,индонезия	Batam
вильянуэва-де-ла-рейна,испания	Villanueva_de_la_Reina
багдати,грузия	Baghdati
блэкдак,город,миннесота,соединённые штаты америки,сша,америка	Blackduck,_Minnesota
баранцате,италия	Baranzate
бульбуэнте,испания	Bulbuente
вуковар,хорватия	Vukovar
бук,повят,познанский повят,польша	Buk
боргомазино,италия	Borgomasino
вуктыл,россия,республика коми,коми	Vuktyl
вергас,город,миннесота,соединённые штаты америки,сша,америка	Vergas,_Minnesota
бреццо-ди-бедеро,италия	Brezzo_di_Bedero
ботсфьорд,	Båtsfjord
выборг,россия,ленинградская область	Vyborg
боретто,италия	Boretto
войнич,польша,польша	Wojnicz
аренильяс-де-риописуэрга,испания	Arenillas_de_Riopisuerga
ардеа,италия	Ardea,_Lazio
брокен-боу,небраска,соединённые штаты америки,сша,америка	Broken_Bow,_Nebraska
волгодонск,россия,ростовская область	Volgodonsk
врлика,хорватия	Vrlika
вардха,индия	Wardha
аркуата-дель-тронто,италия	Arquata_del_Tronto
боффалора-сопра-тичино,италия	Boffalora_sopra_Ticino
вальдоббьядене,италия	Valdobbiadene
бюрегаван,армения	Byureghavan
вилла-литерно,италия	Villa_Literno
вильякиран-де-лос-инфантес,испания	Villaquirán_de_los_Infantes
вертавильо,испания	Vertavillo
болохово,россия,тульская область	Bolokhovo
бжесць-куявский,польша	Brześć_Kujawski
асеучаль,	Aceuchal
бранкалеоне,италия	Brancaleone,_Calabria
аба,город,нигерия	Aba,_Abia
аллерона,италия	Allerona
бульчаго,италия	Bulciago
аджерола,италия	Agerola
богданци,город,македония	Bogdanci
айнзидельн,швейцария	Einsiedeln
балангир,индия	Balangir
вустер,массачусетс,соединённые штаты америки,сша,америка	Worcester,_Massachusetts
вильяселан,	Villaselán
бадулла,шри-ланка	Badulla
амасья,турция	Amasya
бразилиа,бразилия	Brasília
верхнеднепровск,украина	Verkhnodniprovsk
базельга-ди-пине,италия	Baselga_di_Pinè
айка,венгрия	Ajka
бад-радкерсбург,австрия	Bad_Radkersburg
барранкилья,колумбия	Barranquilla
вильядеканес,испания	Toral_de_los_Vados
висьен,испания	Vicién
афьон-карахисар,турция	Afyonkarahisar
виллорба,италия	Villorba
вараби,	Warabi,_Saitama
вальпрато-соана,италия	Valprato_Soana
абовян,город,армения	Abovyan
вискаинос,испания	Vizcaínos
агаццано,италия	Agazzano
балаклава,	Balaklava
браке,везер,нижний везер,германия	Brake,_Lower_Saxony
бишофштеттен,австрия	Bischofstetten
аревалильо,испания	Arevalillo
вильяр-дель-педросо,испания	Villar_del_Pedroso
баньо-ди-романья,италия	Bagno_di_Romagna
анока,город,миннесота,соединённые штаты америки,сша,америка	Anoka,_Minnesota
андервуд,город,миннесота,соединённые штаты америки,сша,америка	Underwood,_Minnesota
альтхайм,австрия,верхняя австрия,австрия	Altheim,_Austria
буджано,италия	Buggiano
бродзоло,италия	Brozolo
вроцлав,польша	Wrocław
билибино,россия	Bilibino
альбанчес-де-убеда,испания	Albanchez_de_Mágina
бэйпяо,китайская народная республика,китай,кнр	Beipiao
вислуни,чехия	Výsluní
валлекрозия,италия	Vallecrosia
бучач,украина	Buchach
ветто,италия	Vetto
адлисвиль,швейцария	Adliswil
бедфорд,виргиния,соединённые штаты америки,сша,америка	Bedford,_Virginia
вимперк,	Vimperk
анини,индия	Anini
боргосезия,италия	Borgosesia
висбю,швеция	Visby
алонте,италия	Alonte
аулетта,кампания,италия	Auletta
альберуэла-де-тубо,испания	Alberuela_de_Tubo
вальмадрид,испания	Valmadrid
барретт,город,миннесота,соединённые штаты америки,сша,америка	Barrett,_Minnesota
атцара,италия	Atzara
бухаралос,испания	Bujaraloz
арлон,бельгия	Arlon
аден,йемен	Aden
вулвергемптон,великобритания	Wolverhampton
араусо-де-мьель,испания	Arauzo_de_Miel
брэила,румыния	Brăila
аира,город,	Aira,_Kagoshima_(Aira)
витория-гастейс,испания	Vitoria-Gasteiz
аникщяй,литва	Anykščiai
бедиас,техас,соединённые штаты америки,сша,америка	Bedias,_Texas
арлуно,италия	Arluno
андон,республика корея,корея,южная корея	Andong
великие мосты,украина	Velyki_Mosty
аллюмьере,италия	Allumiere
ваццола,италия	Vazzola
вестоне,италия	Vestone
анцола-дель-эмилия,италия	Anzola_dell'Emilia
альенту,италия	Aglientu
банари,италия	Banari
аккуафредда,италия	Acquafredda
аслор,испания	Azlor
баббитт,город,миннесота,соединённые штаты америки,сша,америка	Babbitt,_Minnesota
верещагино,россия,пермский край	Vereshchagino,_Vereshchaginsky_District,_Perm_Krai
арена-по,италия	Arena_Po
вольфсбах,австрия,нижняя австрия,австрия	Wolfsbach
андрушёвка,украина	Andrushivka
алекнагик,аляска,	Aleknagik,_Alaska
барцио,италия	Barzio
айзенэрц,австрия	Eisenerz
боржоми,город,грузия	Borjomi
альтдорф,швейцария	Altdorf,_Switzerland
беас-де-сегура,испания	Beas_de_Segura
балахна,россия,нижегородская область	Balakhna
бене-ларио,италия	Bene_Lario
вальдерруэда,	Valderrueda
анкува,	Ankuwa
альгеро,италия	Alghero
буональберго,италия	Buonalbergo
вильярреаль-де-уэрва,испания	Villarreal_de_Huerva
адауэска,испания	Adahuesca
анрас,австрия	Anras
верделло,италия	Verdello
вилланова-д’асти,италия	Villanova_d'Asti
ашбах-маркт,австрия	Aschbach-Markt
быдгощ,польша	Bydgoszcz
борокс,испания	Borox
бульгарограссо,италия	Bulgarograsso
альтамура,италия	Altamura
берцано-ди-сан-пьетро,италия	Berzano_di_San_Pietro
виго-рендена,италия	Vigo_Rendena
аванш,швейцария	Avenches
вщиж,	Vshchizh
аньозине,италия	Agnosine
бейнбридж,джорджия,соединённые штаты америки,сша,америка	Bainbridge,_Georgia
вальверде-де-ла-вера,испания	Valverde_de_la_Vera
андау,австрия	Andau
болькув,польша	Bolków
бастия-мондови,италия	Bastia_Mondovì
блайт,калифорния,соединённые штаты америки,сша,америка	Blythe,_California
бустильо-де-ла-вега,испания	Bustillo_de_la_Vega
валланценго,италия	Vallanzengo
бовес,италия	Boves
бове,франция	Beauvais
алмора,индия	Almora
аненто,испания	Anento
андедзено,италия	Andezeno
берра,италия	Berra
антофагаста,	Antofagasta
амбилубе,мадагаскар	Ambilobe
бюрен,община,нидерланды	Buren
векшняй,литва	Viekšniai
валандово,македония	Valandovo
вальдевердеха,	Valdeverdeja
вильятобас,	Villatobas
велюнь,польша,польша	Wieluń
березно,	Berezne
альбервиль,франция	Albertville
артёмовка,область,полтавская область,украина	Artemivka
вальдуджа,италия	Valduggia
аттапы,город,лаос	Attapeu
ашано,италия	Asciano
бржецлав,чехия	Břeclav
альдено,италия	Aldeno
бедмар-и-гарсиэс,испания	Bedmar_y_Garcíez
вальдекаса,испания	Valdecasa
берцо-инфериоре,италия	Berzo_Inferiore
бугуруслан,россия,оренбургская область	Buguruslan
виллапутцу,италия	Villaputzu
вильямалур,испания	Villamalur
акмяне,литва	Akmenė
ваццано,италия	Vazzano
ансо,	Ansó
бельмонте-пичено,италия	Belmonte_Piceno
амаранти,	Amarante,_Portugal
вега-де-санта-мария,испания	Vega_de_Santa_María
андрейс,италия	Andreis
боза,сардиния,италия	Bosa
александруполис,греция	Alexandroupoli
алаярви,	Alajärvi
баранув-сандомерский,польша	Baranów_Sandomierski
брок,город,польша	Brok
ассалуйе,месторождение,иран	Asaluyeh
айсгарн,австрия	Eisgarn
бхатпара,индия	Bhatpara
алмазная,	Almazna
афула,израиль	Afula
бяла-писка,польша	Biała_Piska
вьяле,италия	Viale
вупперталь,германия	Wuppertal
алькаудете,испания	Alcaudete
вильягарсия-де-ла-торре,испания	Villagarcía_de_la_Torre
акуила-д’арроша,италия	Aquila_d'Arroscia
баколод,	Bacolod
вилла-латина,италия	Villa_Latina
баньяра-калабра,италия	Bagnara_Calabra
валка,латвия	Valka
вальдевимбре,	Valdevimbre
верхоянск,россия,якутия	Verkhoyansk
вальделинарес,испания	Valdelinares
буэнависта-де-вальдавия,испания	Buenavista_de_Valdavia
вистабелья-де-уэрва,испания	Vistabella_de_Huerva
борсиппа,	Borsippa
бордальба,испания	Bordalba
ангри,италия	Angri
виллизау,швейцария	Willisau
владикавказ,россия,северная осетия	Vladikavkaz
брандиццо,италия	Brandizzo
аксай,область,ростовская область,россия,ростовская область	Aksay,_Rostov_Oblast
больюльос-де-ла-митасьон,испания	Bollullos_de_la_Mitación
бариле,италия	Barile
аморий,	Amorium
арандига,испания	Arándiga
бруццано-дзеффирио,италия	Bruzzano_Zeffirio
баньякавалло,италия	Bagnacavallo
аланно,италия	Alanno
авельяноса-де-муньо,испания	Avellanosa_de_Muñó
борисполь,украина	Boryspil
бейт-сахур,	Beit_Sahour
арбург,швейцария	Aarburg
валье-де-ока,испания	Valle_de_Oca
вальдивия,чили	Valdivia
варзане,иран	Varzaneh
бендер-конг,иран	Kong,_Iran
вильянуэва-дель-арискаль,испания	Villanueva_del_Ariscal
ауровиль,индия	Auroville
вьяра,индия	Vyara
бавено,италия	Baveno
ауронцо-ди-кадоре,италия	Auronzo_di_Cadore
амрисвиль,швейцария	Amriswil
арсуа,	Arzúa
бурчеи,италия	Burcei
вильялькасар-де-сирга,испания	Villalcázar_de_Sirga
биджар,иран	Bijar
блуденц,австрия	Bludenz
берни,тасмания,австралия	Burnie,_Tasmania
великие луки,россия,псковская область	Velikiye_Luki
бандо,город,	Bandō,_Ibaraki
атфих,египет	Atfih
